 ,Area,Mean,Min,Max,IntDen,RawIntDen
1,999564.069,666.450,67,4095,666159570.791,65078852.000
2,999564.069,546.697,54,4095,546458892.083,53384983.000
3,999564.069,273.363,37,3615,273243403.088,26693855.000
4,999564.069,91.768,28,934,91727512.303,8961098.000
5,999564.069,716.690,70,4095,716377669.600,69984788.000
6,999564.069,602.372,56,4095,602109613.928,58821646.000
7,999564.069,355.038,37,4095,354883343.472,34669472.000
8,999564.069,115.259,28,1598,115209038.018,11255069.000
9,999564.069,345.242,64,3866,345091669.131,33712898.000
10,999564.069,240.586,52,2589,240481521.254,23493262.000
11,999564.069,114.431,36,1075,114380868.735,11174163.000
12,999564.069,52.119,27,307,52096112.332,5089404.000
13,999564.069,246.787,64,3039,246679248.399,24098734.000
14,999564.069,173.723,50,2043,173647054.249,16964030.000
15,999564.069,87.622,35,826,87584127.310,8556320.000
16,999564.069,45.423,27,239,45403137.785,4435550.000
17,999564.069,370.566,62,4095,370404009.292,36185726.000
18,999564.069,261.367,50,3771,261252738.977,25522456.000
19,999564.069,122.639,35,1577,122585974.388,11975741.000
20,999564.069,54.116,27,421,54092794.019,5284465.000
21,999564.069,686.171,83,4095,685872038.789,67004614.000
22,999564.069,578.431,62,4095,578178872.962,56483790.000
23,999564.069,339.287,38,4095,339138607.427,33131328.000
24,999564.069,111.643,28,1545,111594331.827,10901939.000
25,999564.069,992.461,82,4095,992028778.396,96913858.000
26,999564.069,842.463,62,4095,842096041.323,82266541.000
27,999564.069,607.441,38,4095,607176190.767,59316613.000
28,999564.069,273.523,29,3501,273403671.134,26709512.000
29,999564.069,622.802,68,4095,622530006.671,60816567.000
30,999564.069,463.750,53,4095,463547524.629,45285157.000
31,999564.069,204.807,36,1755,204717917.301,19999423.000
32,999564.069,74.671,28,482,74638170.657,7291596.000
