 ,Area,Mean,Min,Max,IntDen,RawIntDen
1,999564.069,129.512,57,429,129455912.208,12646883.000
2,999564.069,96.457,48,318,96415257.943,9419056.000
3,999564.069,57.523,31,146,57498139.392,5617142.000
4,999564.069,37.912,27,63,37895741.159,3702133.000
5,999564.069,123.197,59,430,123143703.500,12030227.000
6,999564.069,92.415,48,303,92375125.410,9024365.000
7,999564.069,55.843,32,143,55818462.309,5453050.000
8,999564.069,37.409,26,64,37392437.875,3652964.000
9,999564.069,126.276,57,500,126220528.554,12330810.000
10,999564.069,94.365,47,335,94323543.457,9214711.000
11,999564.069,56.033,34,155,56008108.223,5471577.000
12,999564.069,37.475,26,65,37458737.685,3659441.000
13,999564.069,126.560,59,543,126504941.126,12358595.000
14,999564.069,94.537,47,369,94495879.971,9231547.000
15,999564.069,56.397,33,170,56372322.142,5507158.000
16,999564.069,37.662,26,70,37645241.088,3677661.000
17,999564.069,127.146,60,684,127090359.135,12415786.000
18,999564.069,94.766,49,544,94724935.221,9253924.000
19,999564.069,56.330,34,190,56305848.316,5500664.000
20,999564.069,37.720,27,76,37703525.961,3683355.000
21,999564.069,119.508,61,375,119456381.769,11670003.000
22,999564.069,90.074,49,274,90034681.714,8795721.000
23,999564.069,54.711,32,130,54686943.500,5342509.000
24,999564.069,37.129,26,63,37112713.478,3625637.000
25,999564.069,114.424,56,385,114374614.422,11173552.000
26,999564.069,86.252,47,265,86213941.467,8422463.000
27,999564.069,53.248,34,129,53224488.630,5199638.000
28,999564.069,36.930,26,59,36914100.661,3606234.000
29,999564.069,132.020,59,509,131962120.784,12891721.000
30,999564.069,98.203,48,353,98159852.950,9589490.000
31,999564.069,58.116,33,165,58090599.902,5675021.000
32,999564.069,37.936,27,67,37919356.052,3704440.000
