 ,Area,Mean,Min,Max,IntDen,RawIntDen
1,999564.069,141.961,59,1970,141899026.206,13862483.000
2,999564.069,104.788,47,1313,104742655.372,10232581.000
3,999564.069,60.752,34,513,60725692.361,5932450.000
4,999564.069,38.904,28,142,38887392.651,3799010.000
5,999564.069,145.272,58,2306,145208601.774,14185804.000
6,999564.069,107.147,44,1550,107100582.483,10462933.000
7,999564.069,61.485,33,664,61457784.754,6003970.000
8,999564.069,38.786,26,193,38769011.100,3787445.000
9,999564.069,230.757,61,3581,230656753.307,22533455.000
10,999564.069,163.370,47,2515,163299012.209,15953103.000
11,999564.069,83.547,34,1009,83510379.125,8158345.000
12,999564.069,44.215,26,280,44195922.342,4317614.000
13,999564.069,147.599,61,1878,147534254.174,14413003.000
14,999564.069,108.276,48,1286,108229040.671,10573175.000
15,999564.069,62.377,34,541,62349531.021,6091087.000
16,999564.069,39.025,27,161,39007657.662,3810759.000
17,999564.069,174.164,65,1502,174087998.656,17007107.000
18,999564.069,125.905,51,1016,125850602.841,12294671.000
19,999564.069,68.660,34,433,68630550.054,6704696.000
20,999564.069,40.656,27,138,40638190.791,3970050.000
21,999564.069,170.034,62,1834,169959998.658,16603832.000
22,999564.069,123.085,50,1230,123031678.624,12019283.000
23,999564.069,67.980,34,531,67950508.693,6638261.000
24,999564.069,40.274,27,157,40256073.774,3932720.000
25,999564.069,195.356,67,3708,195270414.416,19076472.000
26,999564.069,140.501,53,2490,140439990.224,13719946.000
27,999564.069,74.451,34,1004,74418860.261,7270171.000
28,999564.069,41.897,27,283,41878899.051,4091258.000
29,999564.069,205.537,60,4095,205447010.490,20070650.000
30,999564.069,147.356,48,3592,147291973.765,14389334.000
31,999564.069,78.104,34,1527,78070099.418,7626870.000
32,999564.069,43.013,27,402,42993824.994,4200178.000
33,999564.069,133.461,62,1398,133403263.904,13032510.000
34,999564.069,98.813,49,1053,98769929.945,9649090.000
35,999564.069,57.975,34,437,57949760.147,5661262.000
36,999564.069,38.053,27,126,38035925.797,3715828.000
