gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,celltype
rbfox3a,18.25206254351431,1.7917229205112104,0.8824643532134819,35.174575959761995,1.3886381580851118e-6,0.015543591054250388,AdenohypAP-184
igsf9bb,18.28062895540874,0.9739593615033292,1.2948634754131627,34.36310628033688,2.015768519550044e-6,0.015543591054250388,AdenohypAP-184
shisa8b,8.827604500107663,-17.64446175620206,264.3326940903978,41.55517688152597,7.24644247109665e-8,5.622514713323891e-4,Amacrine-150
agrn,28.150498393684774,-19.384766081123253,253.89806668399754,48.0003591202657,3.551323059322835e-9,5.510943123457175e-5,Amacrine-150
apoa1a,10.746814168602999,2.8535584779735528,0.8982682712744683,27.002828529719707,5.697015527644828e-5,0.015712368825244436,Amacrine-170
pde6ha,36.01142462879135,-2.90015706423781,0.9982478181494473,22.58318456552091,4.0546244076533465e-4,0.04659439215128304,Amacrine-170
ttn.1,79.09146395382744,1.4913648026378952,0.559629527560795,25.200032304862702,1.2747229993711936e-4,0.0292973836022146,Amacrine-170
ttn.2,80.41219367026204,1.4804581774065722,0.5954316700294449,22.78099926479024,3.7170655012256726e-4,0.04659439215128304,Amacrine-170
afp4.1,6.996328585594307,3.836670078602848,0.9457190967804333,38.66203649604563,2.7773831072923407e-7,3.830011304956138e-4,Amacrine-170
rgs6,8.942818126621358,0.6707261660954957,1.2209722269505159,24.021538236812148,2.150535592154627e-4,0.04236555116544615,Amacrine-170
svila,16.791416946742913,-0.7420850549731938,0.9500403432774753,23.051329798989855,3.300233734750272e-4,0.04659439215128304,Amacrine-170
CR847968.1,23.875917190563143,1.2359386432608965,0.797949023551928,23.599825076252557,2.591238339421591e-4,0.04466647087577967,Amacrine-170
nme2b.2,18.917045673863193,1.2149737296150955,0.6525951124164301,27.708991804134826,4.148987215971532e-5,0.015574137431426879,Amacrine-170
cdh4,70.83567947871057,0.08681523119443112,0.44600644109715903,22.816629063358945,3.659285807137774e-4,0.04659439215128304,Amacrine-170
ntm,18.598441899955027,1.9624157662445336,0.7115523683449987,33.36586964516964,3.183466878502979e-6,0.002195000412727804,Amacrine-170
nfia,40.22901560863562,0.4904706771166876,0.8211592492535271,27.519657980989777,4.517516296280458e-5,0.015574137431426879,Amacrine-170
pnp5a,10.625942058610736,-1.8112395845693268,0.9145767192037315,33.71390388215616,2.7145340885194967e-6,4.810154404856548e-4,BasalorEpi-73
rhcga,6.301333153955584,-4.130790875248244,1.721431822985728,18.92139813462805,0.0019880176462922557,0.048927323183748296,BasalorEpi-73
si:dkey-85k7.7,8.742355114320045,0.14653982792307754,1.12312727330065,29.817114530900724,1.6022735189438164e-5,0.0016701345150402604,BasalorEpi-73
sox6,34.89658285826147,0.5130209782385041,0.5357423881844655,22.306354571001478,4.57835861165169e-4,0.01843829877237908,BasalorEpi-73
tpma,46.79263100224071,0.5830450563763218,0.4980419039686031,22.80391379438049,3.679803242769333e-4,0.015525265109969662,BasalorEpi-73
zgc:112160,15.947583102503232,-0.2670650847779735,0.580798378111937,23.619794362435087,2.5684880776689575e-4,0.011977265456919453,BasalorEpi-73
ctrb1,32.65543776040076,-0.8870412471832095,0.4918756122037554,37.61695759313798,4.504331561788792e-7,1.1402393610699627e-4,BasalorEpi-73
c6ast4,7.311820202319652,-1.2630405496215564,0.7637942878298811,20.34651223234124,0.0010757542854397098,0.0325716154590567,BasalorEpi-73
tnnt3b,59.74549826889826,0.5788945481570839,0.527372241059312,21.60285008477311,6.228808480109746e-4,0.023483933248413764,BasalorEpi-73
myhz1.3,52.998555305140364,1.1254348104566152,0.5947633063334601,26.96183995774183,5.802682042116709e-5,0.004284313574429503,BasalorEpi-73
myhz1.2,108.32470838735792,1.8086103676280518,0.6401264705342145,23.965165165710317,2.2048503214616694e-4,0.01116284219894308,BasalorEpi-73
ckma,46.25854055495982,0.031170046815735687,0.4980618142456334,24.39923402094267,1.8192492198993183e-4,0.010225536635090597,BasalorEpi-73
sun1,22.219456660449918,0.4096779984216924,0.5150978966011975,20.339061496163566,0.001079231438500542,0.0325716154590567,BasalorEpi-73
atp2a1,70.2031365883896,0.4291087309855196,0.4899575787872538,22.833683161335045,3.631944485554766e-4,0.015525265109969662,BasalorEpi-73
sept12,21.04625810450739,0.4382624615309387,0.5921425107817608,22.10553225433445,4.999550048618279e-4,0.01968711708033687,BasalorEpi-73
actb2,72.2071561574632,-0.043989233051139796,0.3865096683551917,22.873101135736405,3.569518803704732e-4,0.015525265109969662,BasalorEpi-73
pvalb4,12.970413434931105,-0.220904935653747,0.6222323624611517,27.413657198720003,4.737828024107984e-5,0.0036501875037910207,BasalorEpi-73
pvalb1,188.381978585375,0.6614570190900453,0.446848220468079,23.734050003920657,2.442066730481464e-4,0.011695519584900418,BasalorEpi-73
rplp2,35.34776918054812,-0.03918807326230275,0.5109554031514645,19.900901123394803,0.0013043859168316771,0.038522864077095535,BasalorEpi-73
prelid3b,8.173530845296805,-0.5911007711068281,0.8713732651476677,28.582211541130732,2.7999870652790787e-5,0.0024807885398372637,BasalorEpi-73
xpr1b,6.899165458049707,-1.929214748140443,0.8308399622432225,21.29074577295708,7.137338912770914e-4,0.02581094806822461,BasalorEpi-73
apoda.2,6.40811883559541,-1.4485355725345914,0.8211991559724753,19.518045498827007,0.001538509340977011,0.043798642935828046,BasalorEpi-73
mylz3,65.56121923160529,0.6355550874223181,0.42321940426580174,23.197400709670973,3.094579723848223e-4,0.014060500693997568,BasalorEpi-73
pcdh7a,13.336006226625123,0.24126981639656792,0.754630062554978,20.5002476015368,0.0010064197347036475,0.032120942863086026,BasalorEpi-73
itga6b,58.4142612496218,-1.267821008361024,0.5352440907813545,19.402972925755307,0.0016166249747485018,0.043798642935828046,BasalorEpi-73
bzw1b,7.355307099527213,-1.9648667874794716,1.1345918083071147,21.926404586680277,5.40736004147215e-4,0.020830091290192716,BasalorEpi-73
ttn.2,130.84609643620607,1.2397061740019113,0.5852478596851961,19.429361246211016,0.0015983742169907293,0.043798642935828046,BasalorEpi-73
si:ch73-22o12.1,11.911081852364171,-1.034039044723674,0.6336263605290011,20.942743758219052,8.304857936246815e-4,0.029432416526058713,BasalorEpi-73
tuft1a,5.58482223115814,-0.5085619567887455,1.0422739396360299,32.669904857067436,4.376230520032754e-6,7.049709528634582e-4,BasalorEpi-73
prss1,40.363239093966065,-0.5855860404650579,0.5512310064550886,28.99089288671246,2.3283169396530962e-5,0.002263561269418665,BasalorEpi-73
igfbp1a,5.853363785998667,0.5930203997822103,0.913053625039533,19.06335251321167,0.0018706015202329075,0.047352941340753026,BasalorEpi-73
flrt2,8.881313424277533,3.5183794244732045,0.9331001872904605,24.210956319023154,1.9775455753071408e-4,0.01030650223365957,BasalorEpi-73
apobb.1,24.35754691511381,0.2999192567201503,0.575544412390314,20.480419595947097,0.0010151088037995584,0.032120942863086026,BasalorEpi-73
sesn1,12.444780200935426,-0.6796062058743595,0.6246267866478639,30.13692864913483,1.386094666152601e-5,0.0015350998427640056,BasalorEpi-73
si:dkey-7c18.24,18.505580652908673,1.414352487901913,0.7890874836428476,24.353824181027235,1.856241203932517e-4,0.010225536635090597,BasalorEpi-73
ela2l,28.896092192118072,-0.729830603618126,0.5070824397440589,25.118549718763916,1.3217831811862334e-4,0.009008460757930792,BasalorEpi-73
actc1b,261.38002884347503,0.4476916800690197,0.4531615183842513,36.03229491467002,9.357870992256002e-7,2.0727684247847045e-4,BasalorEpi-73
lpin1,25.272553751970914,-1.4374338628233125,0.6050092494306782,38.64694024752653,2.796870023356509e-7,9.912107362775468e-5,BasalorEpi-73
fosl2,8.897368232768413,1.0134591274237352,0.9285435138198953,30.92865684502553,9.676017762119766e-6,0.0012247073910340162,BasalorEpi-73
fosl1a,4.601563534413941,13.538460853635616,124.93307050137481,45.27873865069004,1.273362206457932e-8,7.521326099478184e-6,BasalorEpi-73
fam107b,27.61221381288924,-0.909936145535502,0.5123954516144548,46.76337127392908,6.348815538913742e-9,7.012100989842879e-6,BasalorEpi-73
mtss1la,23.279267818932603,-1.4626621556520665,0.7039048056490699,33.73027410209879,2.694254579005324e-6,4.810154404856548e-4,BasalorEpi-73
itga3b,8.381236373234806,0.010707767420751394,0.8119151606274543,21.382532425243056,6.857381034868112e-4,0.02531516498705478,BasalorEpi-73
atp2a1l,23.043675736747325,0.3654842184032216,0.602132351814898,20.494342946892118,0.001008999600682905,0.032120942863086026,BasalorEpi-73
mylpfb,16.31049916958182,0.7323510426856066,0.6024446805389821,25.45213054167614,1.1393778709313328e-4,0.008075910349161287,BasalorEpi-73
pvalb2,188.2056174196022,0.35332756661960174,0.47649959556550614,18.88680138611585,0.0020177130157166922,0.048977910463698336,BasalorEpi-73
