 ,Area,Mean,Min,Max,IntDen,RawIntDen
1,999564.069,215.335,70,1068,215241581.673,21027507.000
2,999564.069,152.825,55,733,152757905.367,14923315.000
3,999564.069,79.172,37,310,79137846.757,7731181.000
4,999564.069,43.397,28,106,43378163.265,4237725.000
5,999564.069,216.886,67,1057,216791259.128,21178899.000
6,999564.069,154.290,51,725,154222499.600,15066395.000
7,999564.069,79.859,35,302,79824521.169,7798264.000
8,999564.069,43.671,26,105,43651715.238,4264449.000
9,999564.069,190.610,70,796,190527045.313,18613080.000
10,999564.069,137.149,55,542,137088927.372,13392572.000
11,999564.069,73.286,35,237,73254063.594,7156379.000
12,999564.069,41.841,28,85,41822722.834,4085770.000
13,999564.069,203.616,67,987,203526977.402,19883077.000
14,999564.069,145.425,51,661,145361315.510,14200723.000
15,999564.069,76.712,36,286,76678059.308,7490878.000
16,999564.069,42.584,27,95,42565870.314,4158370.000
17,999564.069,213.153,68,1040,213059788.704,20814362.000
18,999564.069,151.401,54,707,151335443.296,14784351.000
19,999564.069,78.575,36,312,78540370.514,7672812.000
20,999564.069,43.057,27,102,43038127.230,4204506.000
21,999564.069,174.171,67,1283,174094867.140,17007778.000
22,999564.069,126.115,52,869,126060117.202,12315139.000
23,999564.069,69.027,34,359,68997210.422,6740516.000
24,999564.069,40.721,27,119,40703037.062,3976385.000
25,999564.069,198.114,71,799,198027972.666,19345865.000
26,999564.069,141.962,54,539,141900285.257,13862606.000
27,999564.069,74.831,35,240,74797885.948,7307199.000
28,999564.069,41.978,27,86,41959959.449,4099177.000
29,999564.069,154.855,67,1010,154787158.614,15121558.000
30,999564.069,113.160,53,730,113110342.450,11050042.000
31,999564.069,64.139,35,316,64111036.216,6263173.000
32,999564.069,39.426,26,104,39408609.270,3849929.000
