 ,Area,Mean,Min,Max,IntDen,RawIntDen
1,999564.069,135.691,58,2829,135632235.478,13250264.000
2,999564.069,100.520,44,2050,100476579.391,9815817.000
3,999564.069,58.892,34,810,58866103.982,5750782.000
4,999564.069,38.472,26,212,38455333.258,3756801.000
5,999564.069,126.002,56,1043,125946843.510,12304073.000
6,999564.069,94.518,46,705,94476697.349,9229673.000
7,999564.069,56.599,34,294,56574742.822,5526933.000
8,999564.069,37.706,27,100,37689492.143,3681984.000
9,999564.069,205.378,62,3084,205288820.391,20055196.000
10,999564.069,146.348,48,2040,146283923.893,14290855.000
11,999564.069,77.361,35,887,77327177.135,7554292.000
12,999564.069,42.844,27,244,42824958.549,4183681.000
13,999564.069,202.222,59,3374,202133770.365,19746971.000
14,999564.069,144.665,49,2318,144601994.848,14126543.000
15,999564.069,76.219,33,934,76186271.739,7442834.000
16,999564.069,42.726,27,261,42707232.114,4172180.000
17,999564.069,137.383,57,3008,137322895.994,13415429.000
18,999564.069,102.015,47,2099,101970377.479,9961750.000
19,999564.069,59.174,33,861,59148551.205,5778375.000
20,999564.069,38.333,26,256,38316059.641,3743195.000
21,999564.069,205.150,59,2648,205060082.463,20032850.000
22,999564.069,147.091,48,1793,147026406.021,14363390.000
23,999564.069,77.629,34,747,77594669.283,7580424.000
24,999564.069,42.925,27,212,42905978.002,4191596.000
25,999564.069,142.093,61,3475,142031543.937,13875429.000
26,999564.069,104.840,47,2379,104794624.515,10237658.000
27,999564.069,60.629,35,966,60602817.122,5920446.000
28,999564.069,38.689,27,268,38672432.637,3778010.000
29,999564.069,133.448,59,977,133390038.745,13031218.000
30,999564.069,99.091,50,660,99047504.741,9676207.000
31,999564.069,58.483,34,284,58457751.607,5710889.000
32,999564.069,38.197,27,101,38180092.313,3729912.000
