Cluster,cell_type_cluster,cell_type_general,tissue,system,short_cell_type,short_cell_type_cluster
187,Myoblast_satelite cell_or_Mesenchyme_cartilage_187,Myoblast satelite cell or Mesenchyme cartilage,mesenchyme,connective tissue,MyoblSatMC,MyoblSatMC_187
188,Optic_or_retinal_progenitor_188,Optic or retinal progenitor,eye,sensory,OptRetProg,OptRetProg_188
189,Hepatocyte_189,Hepatocyte,liver,digestive,Hepatocyte,Hepatocyte_189
190,Taste_bud_type_III_sour_190,Taste bud type III sour,taste,sensory,TasteBud3,TasteBud3_190
191,Pharyngeal_arch_neural_crest_cell_191,Pharyngeal arch neural crest cell,unspecified,neural crest,PharArchNC,PharArchNC_191
192,Neuron_glutamatergic_192,Neuron glutamatergic,neuron,nervous,NeuronGlut,NeuronGlut_192
193,Multiciliated_olfactory_epithelium_193,Multiciliated olfactory epithelium,olfactory,sensory,MCiOlfEpit,MCiOlfEpit_193
194,Dorsal_habenula_glutamatergic_neuron_194,Dorsal habenula glutamatergic neuron,CNS,nervous,DorsalHabG,DorsalHabG_194
195,Anterior_enterocyte_195,Anterior enterocyte,intestine,digestive,EnteroAnte,EnteroAnte_195
196,Roofplate_196,Roofplate,CNS,nervous,Roofplate,Roofplate_196
197,Fin_mesenchyme_ventral_fin_fold_197,Fin mesenchyme ventral fin fold,fin,connective tissue,FinMesVenF,FinMesVenF_197
198,Neuron_dopaminergic_or_noradrenergic_th+_dbh+_198,Neuron dopaminergic or noradrenergic,neuron,nervous,NeuDopNora,NeuDopNora_198
199,Retinal_pigmented_epithelium_199,Retinal pigmented epithelium,eye,sensory,RetPigEpit,RetPigEpit_199
200,Purkinje_neuron_200,Purkinje neuron,CNS,nervous,PurkinjeNe,PurkinjeNe_200
201,Retinal_pigmented_epithelium_201,Retinal pigmented epithelium,eye,sensory,RetPigEpit,RetPigEpit_201
202,Pancreatic_alpha_beta_delta_cell_202,Pancreatic alpha beta delta cell,endocrine pancreas,endocrine,PancreaABD,PancreaABD_202
203,Cardiac_muscle_203,Cardiac muscle,heart,cardiovascular,CardiacMus,CardiacMus_203
204,Pneumatic_duct_surfactant_cell_204,Pneumatic duct surfactant cell,gill,respiratory,PneumDucSu,PneumDucSu_204
205,Cephalic_cranial_muscle_205,Cephalic cranial muscle,muscle,musculoskeletal,CephCraMus,CephCraMus_205
206,Cone_photoreceptor_potentially_immature_206,Cone photoreceptor potentially immature,eye,sensory,ConePhoImm,ConePhoImm_206
207,Esophagus_goblet_cell_207,Esophagus goblet cell,esophagus,digestive,EsophagGob,EsophagGob_207
208,Hepatic_stellate_cell_208,Hepatic stellate cell,liver,connective tissue,HepatStell,HepatStell_208
209,Neuron_glutamatergic_or_GABAergic_209,Neuron glutamatergic or GABAergic,neuron,nervous,NeGluorGab,NeGluorGab_209
210,Retinal_pigmented_epithelium_210,Retinal pigmented epithelium,eye,sensory,RetPigEpit,RetPigEpit_210
211,Cornea_211,Cornea,eye,sensory,Cornea,Cornea_211
212,Neuron_likely_diencephalon_GABAergic_212,Neuron likely diencephalon GABAergic,CNS,nervous,NeurDienGa,NeurDienGa_212
213,Cardiac_mesenchyme_213,Cardiac mesenchyme,heart,cardiovascular,CardiacMes,CardiacMes_213
214,Olfactory_sensory_neuron_214,Olfactory sensory neuron,olfactory,sensory,OlfactoryN,OlfactoryN_214
