Cluster,cell_type_cluster,cell_type_general,tissue,system,short_cell_type,short_cell_type_cluster
88,Lens_88,Lens,eye,sensory,Lens,Lens_88
89,Pharyngeal_arch_89,Pharyngeal arch,mesenchyme,connective tissue,PharynArch,PharynArch_89
90,Skeletal_muscle_90,Skeletal muscle,muscle,musculoskeletal,SkelMuscle,SkelMuscle_90
91,Lateral_line_neuromast_91,Lateral line neuromast,lateral line,sensory,LatLineNMa,LatLineNMa_91
92,Muller_glia_92,Muller glia,eye,sensory,MullerGlia,MullerGlia_92
93,Lens_93,Lens,eye,sensory,Lens,Lens_93
94,Macrophage_94,Macrophage,blood,immune,Macrophage,Macrophage_94
95,Pharyngeal_periderm_95,Pharyngeal periderm,periderm,integumentary,PharynPeri,PharynPeri_95
96,Ionocyte_NaCl_cotransporter_96,Ionocyte NaCl cotransporter,ionocyte,transporter,IonoNaClCT,IonoNaClCT_96
97,Neuron_midbrain_hindbrain_boundary_progenitor_97,Neuron midbrain hindbrain boundary progenitor,CNS,nervous,MHBBouProg,MHBBouProg_97
98,Nucleate_erythrocyte_98,Nucleate erythrocyte,blood,connective tissue,NucErythro,NucErythro_98
99,Basal_cell_or_epidermis_99,Basal cell or epidermis,epidermis,integumentary,BasalorEpi,BasalorEpi_99
100,Mesenchyme_100,Mesenchyme,mesenchyme,connective tissue,Mesenchyme,Mesenchyme_100
101,Neuron_glutamatergic_101,Neuron glutamatergic,neuron,nervous,NeuronGlut,NeuronGlut_101
102,Lateral_line_central_support_cell_102,Lateral line central support cell,lateral line,sensory,LatLinCSup,LatLinCSup_102
103,Neural_progenitor_103,Neural progenitor,neuron,nervous,NeuralProg,NeuralProg_103
104,Ionocyte_K+_secreting_KS_104,Ionocyte K+ secreting KS,ionocyte,transporter,IonoKplusS,IonoKplusS_104
105,Head_mesenchyme_stromal_105,Head mesenchyme stromal,stromal,connective tissue,HeadMesStr,HeadMesStr_105
106,Cornea_106,Cornea,eye,sensory,Cornea,Cornea_106
107,Meninges_precursor_107,Meninges precursor,meningeal,connective tissue,MeningePre,MeningePre_107
108,Cone_photoreceptor_green_sensitive_108,Cone photoreceptor green sensitive,eye,sensory,ConePhotGr,ConePhotGr_108
109,Nucleate_erythrocyte_109,Nucleate erythrocyte,blood,connective tissue,NucErythro,NucErythro_109
110,Iridophore_110,Iridophore,pigment,neural crest,Iridophore,Iridophore_110
111,Retinal_rod_cell_111,Retinal rod cell,eye,sensory,RetinalRod,RetinalRod_111
112,Mesenchyme_112,Mesenchyme,mesenchyme,connective tissue,Mesenchyme,Mesenchyme_112
113,Taste_bud_type_I+II_sweet_bitter_umami_113,Taste bud type I+II sweet bitter umami,taste,sensory,TasteBud12,TasteBud12_113
114,Iridophore_precursor_neural_crest_114,Iridophore precursor neural crest,unspecified,neural crest,IridoPreNC,IridoPreNC_114
115,Ionocyte_K+_secreting_KS_115,Ionocyte K+ secreting KS,ionocyte,transporter,IonoKplusS,IonoKplusS_115
116,Nucleate_erythrocyte_HIGH_MITO_116,Nucleate erythrocyte HIGH MITO,blood,connective tissue,NucErythHM,NucErythHM_116
117,Retinal_pigmented_epithelium_117,Retinal pigmented epithelium,eye,sensory,RetPigEpit,RetPigEpit_117
118,Neuron_unknown_118,Neuron unknown,neuron,nervous,NeuronUnkn,NeuronUnkn_118
119,Cartilage_119,Cartilage,cartilage,connective tissue,Cartilage,Cartilage_119
120,Amacrine_cell_120,Amacrine cell,eye,sensory,Amacrine,Amacrine_120
121,Slow_muscle_121,Slow muscle,muscle,musculoskeletal,SlowMuscle,SlowMuscle_121
122,Fast_muscle_122,Fast muscle,muscle,musculoskeletal,FastMuscle,FastMuscle_122
123,Pharynx_and_cloaca_123,Pharynx and cloaca,digestive general,digestive,PharynxClo,PharynxClo_123
124,Retinal_cone_cell_or_neuron_124,Retinal cone cell or neuron,eye,sensory,RetialConN,RetialConN_124
125,Neuron_glutamatergic_or_retinal_or_oligodendrocyte_125,Neuron glutamatergic or retinal or oligodendrocyte,neuron,nervous,NGluRetOli,NGluRetOli_125
126,Inner_ear_support_cell_126,Inner ear support cell,otic,sensory,InnerEarSC,InnerEarSC_126
127,Nose_periderm_oct2+_127,Nose periderm,periderm,integumentary,NosePeride,NosePeride_127
