 ,Area,Mean,Min,Max,IntDen,RawIntDen
1,999564.069,318.328,59,4095,318188809.112,31084688.000
2,999564.069,237.357,50,4095,237253804.506,23177938.000
3,999564.069,114.835,36,2120,114784522.698,11213597.000
4,999564.069,52.116,28,553,52093154.073,5089115.000
5,999564.069,338.216,67,4095,338068587.654,33026795.000
6,999564.069,247.757,53,4095,247649475.544,24193518.000
7,999564.069,117.789,35,1787,117737305.586,11502062.000
8,999564.069,52.861,27,487,52837980.288,5161879.000
9,999564.069,278.618,67,3512,278496206.954,27207015.000
10,999564.069,195.558,53,2336,195472753.207,19096239.000
11,999564.069,96.083,36,961,96040920.432,9382486.000
12,999564.069,47.647,27,269,47625783.393,4652686.000
13,999564.069,286.555,66,4095,286430053.541,27982093.000
14,999564.069,204.668,51,3743,204578674.392,19985820.000
15,999564.069,101.053,36,1589,101008963.695,9867827.000
16,999564.069,48.701,26,435,48680162.265,4755691.000
17,999564.069,274.730,65,4095,274610538.546,26827414.000
18,999564.069,194.327,52,3094,194242240.193,18976027.000
19,999564.069,96.367,34,1339,96325486.546,9410286.000
20,999564.069,47.274,27,357,47253114.380,4616279.000
21,999564.069,400.582,67,4095,400407708.469,39116865.000
22,999564.069,292.666,51,4095,292538029.762,28578797.000
23,999564.069,136.446,35,2221,136386612.059,13323961.000
24,999564.069,57.479,28,591,57454246.605,5612854.000
25,999564.069,274.392,67,3810,274272365.498,26794377.000
26,999564.069,192.526,53,2597,192441888.652,18800146.000
27,999564.069,94.956,36,1058,94914396.884,9272433.000
28,999564.069,47.196,26,300,47175739.011,4608720.000
29,999564.069,197.939,63,3070,197853118.048,19328783.000
30,999564.069,142.318,49,2091,142255675.579,13897325.000
31,999564.069,75.345,34,865,75312602.585,7357483.000
32,999564.069,42.350,26,248,42331410.355,4135465.000
