 ,Area,Mean,Min,Max,IntDen,RawIntDen
1,999564.069,251.773,59,2931,251663382.955,24585647.000
2,999564.069,177.524,49,2010,177446984.319,17335255.000
3,999564.069,89.724,34,835,89684818.936,8761542.000
4,999564.069,45.904,27,236,45884054.519,4482532.000
5,999564.069,220.313,62,3196,220217179.245,21513586.000
6,999564.069,155.964,51,2079,155895871.190,15229871.000
7,999564.069,80.985,35,835,80949959.681,7908211.000
8,999564.069,43.678,27,243,43658665.612,4265128.000
9,999564.069,165.944,58,2181,165872032.404,16204468.000
10,999564.069,120.280,48,1566,120227893.735,11745374.000
11,999564.069,67.046,35,721,67016507.429,6547016.000
12,999564.069,40.208,27,169,40190633.804,3926327.000
13,999564.069,157.253,59,2834,157184259.629,15355737.000
14,999564.069,115.329,47,2078,115279104.747,11261914.000
15,999564.069,65.120,34,895,65091714.512,6358978.000
16,999564.069,39.748,27,242,39730936.694,3881418.000
17,999564.069,430.297,67,4095,430109419.533,42018502.000
18,999564.069,333.990,53,4095,333844490.294,32614132.000
19,999564.069,167.669,34,3767,167596073.140,16372894.000
20,999564.069,65.465,28,1018,65435978.094,6392610.000
21,999564.069,141.023,60,2877,140961667.471,13770910.000
22,999564.069,104.245,47,1790,104199502.596,10179519.000
23,999564.069,60.377,35,653,60351006.819,5895846.000
24,999564.069,38.632,27,208,38615652.484,3772463.000
25,999564.069,187.957,62,1150,187874756.052,18353971.000
26,999564.069,134.863,52,774,134804260.682,13169377.000
27,999564.069,72.579,34,342,72547827.820,7087385.000
28,999564.069,41.452,28,108,41434412.922,4047835.000
29,999564.069,164.010,61,4095,163938262.348,16015553.000
30,999564.069,119.131,49,2674,119078871.038,11633123.000
31,999564.069,66.001,34,1196,65971975.772,6444973.000
32,999564.069,40.026,26,350,40008746.923,3908558.000
