gene,log2FC_EW1H,log2FC_EW4H,log2FC_EY1H,log2FC_EY4H,padj_EW1H,padj_EW4H,padj_EY1H,padj_EY4H
zgc:152658,4.763848033,3.595885384,-0.191979813,5.840784533,1.14E-16,3.08E-08,1,6.01E-14
si:dkey-94l16.5,3.782310432,2.780132499,0.578760105,1.929808685,1.09E-16,5.87E-09,0.721423544,3.78E-04
ifit15,3.67844526,2.672516078,-1.398056578,1.977958402,5.63E-17,4.11E-09,0.014467819,6.07E-05
isg15,3.777210324,3.053730884,-2.144298296,1.712763357,3.66E-17,2.55E-11,1.37E-04,0.002335549
ifi27.1,3.311362256,2.695026675,-0.265421355,1.173605861,2.95E-17,1.01E-11,1,0.002773277
mxa,4.246145416,3.487021043,0.605511466,3.707412525,1.21E-17,1.55E-11,1,2.25E-08
herc56.4,4.721430665,3.722134739,-1.088805927,4.104960745,3.94E-18,1.06E-10,1,2.74E-07
zgc:123068,3.883088289,3.193559599,-0.185880226,1.80428056,3.46E-18,1.51E-12,1,9.10E-04
ifi27.2,4.149594072,3.773855671,0.38463934,3.390828151,1.13E-19,2.93E-16,1,1.17E-11
ifi27.6,4.474533507,4.151502108,0.857697671,3.301574121,5.57E-21,5.25E-18,0.591610615,2.69E-09
si:dkey-211g8.8,4.504524678,4.14377436,-0.560989569,2.515569674,2.47E-21,5.25E-18,0.854002624,1.92E-06
ENSDART00000066178,5.25576371,1.977518112,4.197651732,-0.677334524,4.28E-22,0.046039307,3.46E-19,0.913595103
stat1b,4.546247685,4.069898645,-0.628182932,1.84175721,1.98E-22,1.56E-17,0.52996788,4.66E-04
cyp2r1,3.601381873,1.408995385,2.487827149,0.520784341,4.98E-23,0.010170378,7.73E-15,0.518443907
ifit8,5.079167908,5.092442397,-1.574003507,3.592535848,6.60E-24,2.09E-23,0.230094028,1.29E-11
mxe,5.099556318,4.034652028,0.931902598,2.541554204,1.40E-24,7.85E-16,0.47482408,1.02E-05
si:dkeyp-118h9.7,6.165225601,5.056063916,-1.207940337,2.177091407,6.71E-30,5.83E-20,0.52996788,0.001978284
igldcp,4.766735385,3.900731064,-0.455733895,2.411780717,1.48E-30,5.46E-23,0.64314975,2.69E-09
rsad2,6.27389689,5.493269594,-3.449499587,3.694750039,1.39E-37,4.37E-30,9.49E-07,5.75E-15
ENSDART00000126992,2.542728467,1.906212315,1.740835627,2.787734815,9.71E-04,0.282687892,0.15165115,3.21E-04
zmp:0000000912,2.245120345,1.66554954,0.374198515,2.231368581,4.35E-04,0.158221705,1,0.002961553
dhx58,1.854580483,1.308868395,-0.103560265,1.75023784,1.23E-04,0.098756971,1,0.001272874
ifnphi1,3.256567527,1.649415445,0.068490813,1.717169414,1.23E-04,0.807248602,1,0.030877024
ifi44a8,2.113997063,-0.440794683,1.079212986,2.688054444,8.36E-05,1,0.706045902,5.64E-04
si:ch73-129a22.11,1.85892917,0.795683369,-1.170866887,2.117489519,6.60E-06,0.26341972,2.37E-08,0.002013257
muc5b,2.352546333,-0.175027349,0.973764544,1.62170498,6.29E-06,1,0.385061561,0.03379886
muc5.2,2.276064355,-0.068738589,0.724180114,1.529128034,3.47E-06,1,0.603461612,0.02974845
ifnphi4,7.390649931,4.162395764,1.45316846,4.970292373,8.96E-10,0.967858758,1,3.32E-06
