si:ch73-1m18.2,-0.943000235,-1.666921202,-2.321434468,-4.14731502,0.281262586,0.034635185,3.18E-04,9.17E-10
bnip4,-1.11869417,-0.122302934,-1.268228065,-0.44878047,0.048262757,1,0.019084392,1
kita,-1.031347512,-0.249427357,-1.424363469,-0.115273027,0.048025951,1,0.010133371,1
tmem86a,-1.197287179,-0.221935359,-1.386252866,-0.302917159,0.046623852,1,0.016937931,1
zranb1b,-1.172265759,-0.351057023,-1.446815561,-0.202033163,0.045792904,1,0.007544033,1
irf1b,-1.186195605,-0.558750978,-1.620759359,0.336432928,0.044942789,1,0.00201198,1
zgc:65997,-1.177647304,-0.339436896,-1.366408659,-0.636951382,0.044150477,1,0.016991941,0.801729824
slc25a48,-1.142167963,-0.03459719,-2.294448923,-0.462364265,0.044078713,1,3.46E-07,1
irs4a,-1.240422975,-0.323024241,-1.53593527,0.185278143,0.039611658,1,0.008658655,1
tmem110l,-1.116929363,-0.498826553,-1.327279313,0.459902001,0.038988637,1,0.016051307,1
si:ch211-153l6.6,-3.754311902,-1.068616278,-3.829625343,-2.292820185,0.038304205,1,0.030523342,0.28009451
fbxl2,-1.215108984,-0.045956631,-1.376794895,-0.241886587,0.03697181,1,0.014780533,1
heca,-1.28710498,-0.192332338,-1.23179701,-0.195317607,0.036281418,1,0.02850479,1
ccl19b,-1.208541264,-0.384316927,-1.696839519,-0.339669235,0.034426693,1,6.50E-04,1
vezf1b,-1.318976581,-0.34137992,-1.495359457,-0.098588288,0.034131819,1,0.028621937,1
ulk1b,-1.070662488,-0.13391685,-1.107932546,-0.121769246,0.033843823,1,0.035429225,1
fam149b1,-1.227103319,-0.433665735,-1.201859768,-0.172526392,0.033679197,1,0.04565066,1
mospd1,-1.21851508,-0.329437149,-1.310366903,-0.203380084,0.033332664,1,0.021479673,1
si:dkey-195o9.2,-1.272839798,-0.421803688,-1.471621905,-0.325060416,0.03204703,1,0.012562963,1
rbp7a,-1.267140909,0.261810955,-1.354940882,-0.211851993,0.031295694,1,0.031832157,1
bbc3,-1.233817954,-0.340761495,-2.823473297,0.322125518,0.030068763,1,1.84E-09,1
unkl,-1.223647243,-0.230141017,-1.264495516,-0.441680672,0.028858001,1,0.014920255,0.967548978
micu3b,-1.312223348,-0.9483017,-1.295142658,-0.448444146,0.027330534,0.797795933,0.047974101,1
nupr1a,-1.23862663,-0.485649672,-1.231679911,-0.343195107,0.027095777,1,0.021131274,1
znf414,-1.035165477,0.027955327,-1.308176569,-0.144501437,0.02559773,1,0.001778489,1
zgc:193812,-1.265777158,-0.005320161,-1.669922783,0.038618637,0.025248512,1,0.031572934,1
tg,-1.659558641,-0.563631041,-0.652885806,-2.6076634,0.024992631,1,0.581391268,9.41E-07
zgc:194659,-1.292233419,0.059013371,-1.78768138,-0.606671589,0.023915883,1,5.14E-04,0.865362413
ubald2,-1.264702461,0.06200346,-1.89229147,-0.209131243,0.023248459,1,1.06E-04,1
rfng,-1.326718404,-0.003739135,-1.367280307,-0.086119908,0.022234647,1,0.021449757,1
si:ch211-241b2.5,-1.45532199,-0.003705038,-1.771420185,0.395519914,0.021621413,1,0.039391929,1
borcs5,-1.470944756,-0.020777085,-1.758573152,0.261832932,0.021096054,1,0.006143237,1
si:dkey-23c22.2;zgc:110299,-1.613486318,-0.383748393,-1.668689563,0.058652946,0.020073502,1,0.025507683,1
si:ch211-215f22.3,-1.290465072,-0.244393121,-1.601549831,-0.252222169,0.019335904,1,0.002007245,1
ENSDART00000130602,-1.351940759,-1.160955791,-1.691409297,-5.479719645,0.018776921,0.356391935,0.005281905,4.57E-18
mxh,-1.834612036,-0.983567945,-1.601428031,-1.238256523,0.018475939,0.987231224,0.044633474,0.31431796
tnk1,-1.27608525,-0.060398292,-1.542403569,0.086199309,0.018267968,1,5.15E-04,1
si:dkey-286f11.2,-1.3940344,-0.68732081,-1.890023538,-0.354397809,0.017719283,1,0.003056789,1
kdm4aa,-1.315726066,-0.291578848,-1.608808977,-0.236915763,0.015501612,1,0.001714875,1
ssx2ipb,-1.489753586,-0.285980335,-1.145693527,-1.73215397,0.015167771,1,0.138267292,0.017455747
fbxl20,-1.141138553,-0.128542573,-1.208622583,0.130293078,0.01498293,1,0.011336589,1
si:ch1073-110a20.7,-1.355842819,-0.133427549,-1.597441813,-0.407297333,0.014492231,1,0.00246035,1
si:ch211-157b11.12,-1.260102464,0.005906702,-1.942060871,0.402969345,0.013508808,1,3.84E-04,1
si:ch211-135n15.2,-1.913716911,-0.030142778,-1.940507946,-0.405330851,0.013154863,1,0.009579425,1
znf1124,-1.379198636,-0.323921557,-1.299350433,-0.030968721,0.012531852,1,0.03011313,1
si:ch1073-185p12.2,-1.276649998,-0.008258534,-1.662706021,-0.053803204,0.011687059,1,0.00489871,1
wu:fd46c06,-1.487856167,-1.46777619,1.156564147,-1.620401215,0.011407407,0.106295972,0.101912844,0.012904094
plekhg7,-1.178857922,-0.364807703,-1.474783256,0.283264747,0.010395789,1,0.02588253,1
nuak2,-1.409739936,-0.328917613,-1.629345574,-0.03494161,0.009720983,1,0.002909924,1
gpr137c,-1.432561795,-0.463549406,-1.473293724,-0.167901286,0.009509346,1,0.010621408,1
lzts2b,-1.424436732,-0.142989935,-1.268455508,0.256369713,0.009384218,1,0.040462771,1
