gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,time
slc38a4,491.80052134429536,1.9024975610828585,0.4248318462389824,18.858179747263222,1.4080599145332887e-5,0.003577752237382311,t1-15HF.t0-UF
slc26a3.2,162.80968915879942,1.8345846504471934,0.500123644464871,12.742431032527122,3.57452776429656e-4,0.030004904415540084,t1-15HF.t0-UF
BX005417.1,215.46213434279264,1.9003427576043788,0.5193759794532774,12.62516249386303,3.805887963592213e-4,0.030508902254389056,t1-15HF.t0-UF
TESK1,125.4172927941226,1.8115320629495009,0.3764860775480442,22.215815164021798,2.436584703790951e-6,9.728934638708154e-4,t1-15HF.t0-UF
sb:cb1058,168.89208156337506,2.586204790179914,0.3802214232382752,42.85091380754178,5.90744833535483e-11,1.6511318097316748e-7,t1-15HF.t0-UF
zanl,604.1889018453228,1.5526440990915267,0.33764342228322247,20.270484029655194,6.722977745920049e-6,0.0019272536204970809,t1-15HF.t0-UF
zgc:172079.2,81.10879896009213,1.5539294554014822,0.427156585419196,12.921511483328366,3.2482746056048057e-4,0.028595047315481677,t1-15HF.t0-UF
zgc:112160,486.00414335218414,-1.602455925825905,0.4427657267997198,12.52733218865221,4.0104200885442875e-4,0.03128719085083339,t1-15HF.t0-UF
zgc:136461,408.743394941004,-1.7439091177956851,0.3873140781799957,19.265539435841134,1.1374082993890318e-5,0.0031015182407730184,t1-15HF.t0-UF
ctrb1,1424.2647978374089,-1.7065386430422993,0.46963703196442164,12.518308773105304,4.0298349575313135e-4,0.03128719085083339,t1-15HF.t0-UF
cebpa,58.71830601235492,2.227966082748901,0.5001217416821099,18.984002610266103,1.3181901545905195e-5,0.003428532246438818,t1-15HF.t0-UF
c6ast4,467.6894009424017,-2.4533968943242184,0.5503474634811868,17.98341247833936,2.228383063418728e-5,0.004529695027094796,t1-15HF.t0-UF
c6ast3,51.053025435620675,-2.6238851704897104,0.6735282627197596,14.114379419832204,1.7202371832219558e-4,0.017807640470760618,t1-15HF.t0-UF
tnni2b.1,55.92571043043944,-2.255105160795841,0.6224219745960751,12.43298245306785,4.2181774848473524e-4,0.03208110495278463,t1-15HF.t0-UF
cyp2x12,23.27884887920556,3.577135134946967,0.8495068641916563,16.84187169263545,4.062695554609084e-5,0.007325957467827348,t1-15HF.t0-UF
CR382383.2,17.80406866140164,-2.5777400137820963,0.7135398760327093,12.706685906051582,3.64350560181814e-4,0.030004904415540084,t1-15HF.t0-UF
gcshb,55.794919002607415,1.483103854358599,0.41691630824628373,12.404290018465105,4.2834863767068915e-4,0.03235768762944801,t1-15HF.t0-UF
ela3l,770.4501910287337,-1.9007575702750485,0.4710168639652538,15.27723155867102,9.282870702670963e-5,0.012454102843682218,t1-15HF.t0-UF
myhz2,1848.8640352399102,-1.4379420379024064,0.359808079910671,15.3701441000661,8.837367456738175e-5,0.012430823484138567,t1-15HF.t0-UF
myhz1.3,653.9231844698311,-1.5437323010786967,0.4395714770898852,11.823418700063655,5.849036724124519e-4,0.03982881844092341,t1-15HF.t0-UF
