 ,Area,Mean,Min,Max,IntDen,RawIntDen
1,999564.069,327.699,66,4095,327555937.424,31999787.000
2,999564.069,236.931,52,4095,236827702.576,23136311.000
3,999564.069,114.369,36,2189,114319226.392,11168141.000
4,999564.069,51.707,28,585,51684832.407,5049225.000
5,999564.069,445.299,65,4095,445104866.384,43483446.000
6,999564.069,344.211,52,4095,344060679.955,33612178.000
7,999564.069,161.875,36,2471,161804241.683,15807075.000
8,999564.069,62.807,27,631,62779532.940,6133095.000
9,999564.069,715.375,94,4095,715062738.717,69856329.000
10,999564.069,599.507,69,4095,599245568.581,58541850.000
11,999564.069,386.465,44,4095,386296770.898,37738331.000
12,999564.069,127.125,30,1714,127069743.446,12413772.000
13,999564.069,327.973,70,4095,327829591.759,32026521.000
14,999564.069,240.564,53,4095,240459626.041,23491123.000
15,999564.069,116.614,36,2280,116562856.191,11387327.000
16,999564.069,52.438,28,617,52415266.537,5120583.000
17,999564.069,270.154,65,4095,270036138.251,26380529.000
18,999564.069,194.251,51,4046,194165847.498,18968564.000
19,999564.069,96.545,34,1697,96502511.237,9427580.000
20,999564.069,47.595,28,460,47574633.145,4647689.000
21,999564.069,277.752,63,4095,277630962.186,27122487.000
22,999564.069,199.651,49,4005,199563954.097,19495919.000
23,999564.069,98.944,34,1695,98900717.759,9661867.000
24,999564.069,47.861,27,445,47840149.708,4673628.000
25,999564.069,349.221,62,4095,349068603.419,34101415.000
26,999564.069,256.095,52,4095,255983782.402,25007718.000
27,999564.069,121.617,37,1980,121563604.085,11875863.000
28,999564.069,53.757,28,521,53733913.157,5249405.000
29,999564.069,613.417,68,4095,613149141.391,59900126.000
30,999564.069,509.539,53,4095,509316575.540,49756454.000
31,999564.069,279.246,36,4095,279124074.448,27268353.000
32,999564.069,94.829,27,1541,94787478.349,9260034.000
33,999564.069,558.686,64,4095,558442708.182,54555713.000
34,999564.069,465.850,52,4095,465647335.943,45490293.000
35,999564.069,264.213,36,4095,264097990.677,25800416.000
36,999564.069,88.170,28,1071,88131210.784,8609766.000
