 ,Area,Mean,Min,Max,IntDen,RawIntDen
1,999564.069,114.961,55,414,114910601.865,11225914.000
2,999564.069,86.731,46,283,86693629.858,8469325.000
3,999564.069,53.677,33,136,53653129.136,5241513.000
4,999564.069,36.804,26,62,36788082.911,3593923.000
5,999564.069,121.551,61,507,121497693.250,11869424.000
6,999564.069,90.690,48,334,90650316.960,8855864.000
7,999564.069,55.235,34,161,55210534.915,5393660.000
8,999564.069,37.397,27,67,37380410.350,3651789.000
9,999564.069,118.476,54,307,118424717.005,11569217.000
10,999564.069,88.995,48,217,88956432.044,8690384.000
11,999564.069,54.318,32,109,54294528.875,5304173.000
12,999564.069,37.306,27,55,37290116.907,3642968.000
13,999564.069,117.559,60,795,117507451.913,11479607.000
14,999564.069,88.573,48,501,88534363.173,8649151.000
15,999564.069,54.211,34,224,54187386.662,5293706.000
16,999564.069,37.291,25,85,37274414.590,3641434.000
17,999564.069,123.806,56,1212,123752511.207,12089703.000
18,999564.069,92.647,47,789,92606299.552,9046949.000
19,999564.069,55.781,33,340,55756226.267,5446970.000
20,999564.069,37.472,27,111,37455718.008,3659146.000
21,999564.069,125.049,61,966,124994130.488,12211000.000
22,999564.069,93.351,47,564,93309832.972,9115679.000
23,999564.069,56.171,34,279,56146092.080,5485057.000
24,999564.069,37.635,27,90,37618473.448,3675046.000
25,999564.069,110.662,57,446,110614134.632,10806181.000
26,999564.069,84.004,49,465,83966943.961,8202948.000
27,999564.069,52.447,33,151,52423742.103,5121411.000
28,999564.069,36.738,27,67,36722079.950,3587475.000
29,999564.069,115.861,59,491,115810311.888,11313809.000
30,999564.069,87.564,45,348,87526241.649,8550665.000
31,999564.069,53.900,34,161,53876697.788,5263354.000
32,999564.069,37.193,27,69,37176300.698,3631849.000
