"","ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name"
"1","ENSDARG00000000001",120.679024130195,-0.609332534428037,0.481142391707226,1.56363371533229,0.211133966649303,0.836864522592532,"slc35a5"
"2","ENSDARG00000000002",8.58661893702198,-1.24888647023795,1.92368859541588,0.391854038266715,0.53132644710638,NA,"ccdc80"
"3","ENSDARG00000000018",1105.83143416861,-0.221588525840084,0.145732163228968,2.30880190923298,0.128643172024951,0.761523600795878,"nrf1"
"4","ENSDARG00000000019",1321.53328521661,-0.115597820890295,0.131391090189865,0.773830384822077,0.379034694315438,0.900964860263079,"ube2h"
"5","ENSDARG00000000068",318.362488029722,0.0104491960904488,0.263076746039201,0.00157785290232937,0.968314605316725,0.997582751293786,"nherf1a"
"6","ENSDARG00000000069",975.076106298878,0.00821795504548602,0.146159016591087,0.00316099108104595,0.955164404253698,0.995581651203371,"dap"
"7","ENSDARG00000000086",307.757747678585,0.0146325093684848,0.294354626980671,0.00239846844749536,0.960939887743065,0.996431934549162,"ITSN1"
"8","ENSDARG00000000103",4303.22411972967,0.0261951071096564,0.107679789961176,0.0591630846412556,0.807823642334814,0.983484217432972,"MYH10"
"9","ENSDARG00000000142",9.58073628840472,-0.646144203892613,1.70103501108716,0.13777362341213,0.7105044406104,NA,"tmem267"
"10","ENSDARG00000000151",978.694595063936,0.0507370821177888,0.165967550904403,0.0933861832247658,0.759915670225449,0.981438903246879,"thraa"
"11","ENSDARG00000000161",1078.47106805163,0.0355023890518423,0.136700017030186,0.0674631069140901,0.795066950331603,0.983331500217462,"itsn2a"
"12","ENSDARG00000000175",231.068002578772,0.0333760048037749,0.366966327443928,0.00813757814395899,0.928121509269143,0.993995354272662,"hoxb2a"
"13","ENSDARG00000000183",2986.08691584038,0.158332010264679,0.0810236952237047,3.81657618779656,0.0507478370417498,0.613082632731246,"ptpn4b"
"14","ENSDARG00000000189",1952.97783931667,0.129724249721255,0.11955264135691,1.17402393214041,0.278575970838831,0.87335291836291,"sema6e"
"15","ENSDARG00000000212",1141.81518196153,0.177021466228022,0.134116292159965,1.74017014032432,0.187117270282953,0.815700335341995,"krt97"
"16","ENSDARG00000000229",897.839735549576,-0.234721282888492,0.126970754082676,3.406419687078,0.0649432082479412,0.64474515176552,"usp49"
"17","ENSDARG00000000241",1141.42101046276,0.0394003440894175,0.111673172434999,0.124311483077406,0.724404581158845,0.97886114515336,"slc40a1"
"18","ENSDARG00000000324",310.416370533533,0.460820556344066,0.280118876540846,2.69606887228301,0.10059600743194,0.712716609371912,"DCAF8"
"19","ENSDARG00000000349",0.605268570531656,-2.11943134625631,3.07526897288337,0.587729294471638,0.443298532186862,NA,"cfap300"
"20","ENSDARG00000000369",20.9995775772501,-3.98395505271785,1.38871885579183,4.88342418724562,0.0271157759178343,NA,"prkag3b"
"21","ENSDARG00000000370",996.364670501752,0.0659386873801152,0.181466736361773,0.131723529032115,0.716651675807648,0.977437206858644,"ENSDARG00000000370"
"22","ENSDARG00000000380",1831.44986715593,-0.0318188155256601,0.117629095927546,0.0731630751349996,0.786785818779363,0.98289507626165,"pde6a"
"23","ENSDARG00000000394",4275.4464787198,-0.0589362038021853,0.096230534464381,0.37439640309077,0.540617550330483,0.947407629518914,"ENSDARG00000000394"
"24","ENSDARG00000000423",114.145117656886,1.0723985716069,0.611580596485878,2.56613599291762,0.109174108426717,0.726717388372777,"si:ch73-314g15.3"
"25","ENSDARG00000000442",117.432200905357,0.152209723501025,0.369295927383946,0.16782831729644,0.682049106815768,0.967869664693418,"slc39a13"
"26","ENSDARG00000000460",0.356027149269877,-1.91677353846692,3.08364043072162,0.749227306927875,0.38672098027946,NA,"nitr2b"
"27","ENSDARG00000000472",58.7020890010053,0.707039618899668,0.808659969833467,0.713575988200603,0.398259220489087,NA,"cntn2"
"28","ENSDARG00000000474",7.31094541561602,-3.0379497703068,2.15984997059662,1.72626453174237,0.188888655229121,NA,"ENSDARG00000000474"
"29","ENSDARG00000000476",96.6425242382452,-0.230636462226788,0.513262108832902,0.185244837349273,0.666904123039121,0.96417884748576,"pms1"
"30","ENSDARG00000000489",450.93444560037,-0.107942744665282,0.246192374658519,0.189835107668074,0.6630538913966,0.963111078204322,"upf3b"
"31","ENSDARG00000000503",20730.0905866791,0.0538848048897817,0.0403915286160113,1.77961333556414,0.182196813770095,0.814022002229172,"stx1b"
"32","ENSDARG00000000516",22.0396638392381,-1.05965427677102,1.07707164985857,0.853053374194928,0.35568998569753,NA,"ankar"
"33","ENSDARG00000000529",373.340336555348,-0.130526312676382,0.21510926506904,0.367262280600045,0.544500354696224,0.947733205808122,"ofd1"
"34","ENSDARG00000000540",565.498517115878,0.0506259280775397,0.199303209403771,0.0645132931684884,0.799499674645276,0.983484217432972,"asnsd1"
"35","ENSDARG00000000542",278.143863152567,-0.219897045396368,0.291159223879142,0.568644322950689,0.450798129740309,0.924890123209613,"gtf2e1"
"36","ENSDARG00000000551",475.115614914044,-0.118868258628844,0.189235562292643,0.394158368311196,0.530121645756205,0.946881890901344,"slc1a4"
