"","ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name"
"1","ENSDARG00000002396",2960.24637650938,0.524410893297289,0.144404158342788,12.9777195318941,0.000315219668098361,0.049443028287983,"cry-dash"
"2","ENSDARG00000002576",1768.75877383219,0.38245888735341,0.10545825073751,13.103824237075,0.000294693574096305,0.0476386195554015,"cabp5a"
"3","ENSDARG00000004078",1153.30634782169,0.733116473551103,0.13401660398808,29.632032615457,5.22345609507299e-08,5.91077585958301e-05,"acsl4a"
"4","ENSDARG00000005776",2833.72397356027,-0.443910466806774,0.0985779522598086,20.1951997612234,6.99281904842379e-06,0.00279280852525137,"guk1b"
"5","ENSDARG00000006074",474.815926319248,-0.85241584452414,0.212007854466966,15.8422980057307,6.88461796457793e-05,0.0164010925159656,"uck2a"
"6","ENSDARG00000006427",974.289229187746,-1.39915187168103,0.232873111888744,34.8073823734497,3.63990633231157e-09,6.17828601080735e-06,"fabp2"
"7","ENSDARG00000007081",1105.90577192001,-0.502817764546267,0.13663436333613,13.3766614635774,0.000254774832856386,0.0432448431919608,"pias4a"
"8","ENSDARG00000007576",3277.49444123387,0.853934876010313,0.165151401102071,26.2655192290954,2.97554042575137e-07,0.000237274994165842,"ENSDARG00000007576"
"9","ENSDARG00000007823",691.859654823494,0.924381750892496,0.206578484640714,19.7003627419995,9.05841689378331e-06,0.00338883754866828,"atf3"
"10","ENSDARG00000011862",2556.97126716119,-0.372593128398226,0.0964412614849926,14.8669358050382,0.000115367538785486,0.0240970365677777,"inaa"
"11","ENSDARG00000012076",1497.4339296827,-1.41505120696911,0.36732730863307,14.2066806804546,0.000163787981248051,0.0308899582967679,"apoa1a"
"12","ENSDARG00000013794",229.677566102902,-1.59579143371828,0.307939127678188,24.9918180997137,5.75741164654522e-07,0.000355363148856534,"klf11b"
"13","ENSDARG00000013946",3819.86552706382,0.506682872070875,0.0939480307993579,28.8863852960633,7.67504944884623e-08,8.01688434352945e-05,"ivns1abpb"
"14","ENSDARG00000015445",261.038722607261,1.12740936190008,0.293628632153252,14.4181557709499,0.000146384177610088,0.0279964894051744,"lim2.4"
"15","ENSDARG00000016793",1373.33482872849,1.271441746105,0.345522819967666,13.1272978563206,0.000291024202401654,0.0476122607760489,"crybb1l2"
"16","ENSDARG00000019949",212.616706360069,-1.06168907395266,0.24382410165932,18.5198947734856,1.68140031841982e-05,0.00543612736281494,"serpinh1b"
"17","ENSDARG00000020107",4447.85720063372,0.329192027976806,0.0683569983561816,23.1405780952564,1.50579211926303e-06,0.000757301895832321,"usp2a"
"18","ENSDARG00000020239",4256.30000941449,0.785280958389787,0.118090289152242,43.3466494724083,4.58520695325577e-11,8.89464645975145e-08,"lpin1a"
"19","ENSDARG00000020866",724.28949014801,-3.46883026414937,0.786168983725458,15.6779328077103,7.50952275445171e-05,0.0173768382406237,"apoa4b.2"
"20","ENSDARG00000020893",10354.4197824593,0.362271367350031,0.071322666316971,25.7248156237506,3.93731535772644e-07,0.000254594310678892,"slc25a55a"
"21","ENSDARG00000024548",1469.0685944909,1.05701361052858,0.210398681762804,24.7109266248345,6.66054903411042e-07,0.000393233023192111,"cryba4"
"22","ENSDARG00000027249",7744.34724154809,0.246321639884002,0.063980706406156,14.7963591089729,0.00011976651129576,0.0242732754758974,"btg1"
"23","ENSDARG00000027495",2360.65114685351,-0.664426226837331,0.132830428211241,24.6087269333237,7.02329501373079e-07,0.000397372179131044,"elovl4b"
"24","ENSDARG00000029075",2346.39957040054,0.595211761326273,0.14966548139823,15.6436743088046,7.64679323157093e-05,0.0173768382406237,"pfkfb4b"
"25","ENSDARG00000030411",1695.52490328172,1.05336476959565,0.204633271378837,25.9488659891882,3.50581318441933e-07,0.00023802718615615,"crygn2"
"26","ENSDARG00000030915",98.7107807305264,-2.37331273856592,0.527612149429388,17.9943272920849,2.21564241312999e-05,0.00668582407286492,"cpa1"
