gene_id	mut_hf_R1	mut_hf_R2	mut_hf_R3	mut_nf_R1	mut_nf_R2	mut_nf_R3	wt_hf_R1	wt_hf_R2	wt_hf_R3	wt_nf_R1	wt_nf_R2	wt_nf_R3
ENSDARG00000105450	4739.41	4893.07	3772.019	4538.622	3226.263	3822.014	3918.576	5275.77	5050.272	3564.068	3495.012	4455.894
ENSDARG00000105452	29	187	138	64	64	49	109	101	136	88	32	175
ENSDARG00000105453	2	10	0	0	0	0	0	26	12	0	52	0
ENSDARG00000105454	138.304	60.334	32.223	236.509	85.764	59.225	70.325	131.158	85.795	72.95	75.452	60.414
ENSDARG00000105455	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000105456	68.041	0	0	72.793	76.449	0	0	0	9.646	0	28.393	43.756
ENSDARG00000105457	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000105458	0	0	15	0	17	0	0	0	3	0	49	2
ENSDARG00000105459	0	0	0	0	0	2	0	15.018	0	16	0	6
ENSDARG00000105460	0	20	24	28	0	78	16	15	12	0	0	20
ENSDARG00000105461	0	0	0	0	0	0	0	0	14	0	0	0
ENSDARG00000105462	0	0	0	0	0	0	0	0	7	0	0	0
ENSDARG00000105463	2738	3874	3076	3268	2326	2742	3112	3229	3452	2236	2352	2661
ENSDARG00000105464	1030.994	1324.683	587.482	844.521	972.775	608.629	1145.777	1850.727	1522.193	825.77	651.146	734.038
ENSDARG00000105465	4738.016	6235.163	4522.178	4471.783	4795.44	4160.313	4310.68	5596.904	7107.148	4255	5378.963	7820.728
ENSDARG00000105466	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000105467	0	0	0	1	0	0	0	0	3	0	0	0
ENSDARG00000105468	0	19.39	0	0	0	0	0	1	0	37	0	0
ENSDARG00000105469	9	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000105470	0	14	0	0	0	0	0	5	12	0	0	12
ENSDARG00000105471	0	0	0	0	0	0	0	0	2.912	0	0	0
ENSDARG00000105473	37	133.353	92.788	55.081	28	61	140.772	124.008	99.085	45	61	25.002
ENSDARG00000105475	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000105476	0	0	0	0	0	0	0	0	8	0	0	0
ENSDARG00000105477	59	53	6	8	109	66	16	60	28	0	41	65
ENSDARG00000105478	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000105479	37	36	118	173	87	108	94	83	161	32	26	77
ENSDARG00000105480	1	18	13	13	19	49	16	0	13	30	26	9.426
ENSDARG00000105481	1	21	3	28	0	39	0	0	3	34	0	36
ENSDARG00000105482	0	8.018	0	0	0	1	0	4.431	1	0	0	0
ENSDARG00000105483	0	0	0	0	0	0	0	0	3	0	0	0
ENSDARG00000105484	0	0	0	0	26	0	1.215	0	7	0	0	0
ENSDARG00000105485	44	108	81	39	47	41	37	117	89	0	22	38
ENSDARG00000105486	0	0	15	0	0	0	0	0	0	0	0	0
ENSDARG00000105487	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000105488	0	0	0	0	0	0	5	0	0	50	0	0
ENSDARG00000105489	0	0	0	0	0	0	0	7.031	0	0	0	0
ENSDARG00000105490	19	156	8	86	59	37	0	49	86	32	16	103
ENSDARG00000105492	0	18	0	17	0	0	0	19	6	0	0	0
ENSDARG00000105493	10	23.264	14	0	62	22	0	25.379	0	0	25	7
ENSDARG00000105494	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000105495	0	10	0	0	0	0	0	17	1	0	0	0
ENSDARG00000105496	0	0	0	0	0	0	0	0	2.996	0	0	0
ENSDARG00000105497	62.692	277.594	5.248	58.627	96.762	54.435	0	129.443	121.54	0	103.701	100.345
ENSDARG00000105498	0	0	27.401	0	0	0	0	0	0	62.143	0	0
ENSDARG00000105499	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000105500	0	0	0	23.012	23	0	0	0	0	0	14	0
ENSDARG00000105501	67.437	82.022	92.951	44.022	18.017	7.034	132.74	98.21	38.618	58	43.244	70.984
ENSDARG00000105502	0	0	0	0	0	1	0	0	0	0	0	0
ENSDARG00000105503	2235.618	3652.437	2253.708	2738.69	2031.851	1789.353	2441.429	2772.978	2990.163	2091.74	1478.733	2572.637
ENSDARG00000105504	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000105505	0	0	0	0	0	54.974	1.897	0	0	0	0	0
ENSDARG00000105506	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000105507	10.002	1.522	26.001	0	22	15	28	19.997	13.047	53	3	0
ENSDARG00000105508	2	10	0	0	0	0	0	3	0	0	0	0
ENSDARG00000105510	2	57	8	75	35	11	44	70.001	35	66	33	7
ENSDARG00000105511	0	60.042	0	0	0	36.768	0	34.991	68.715	0	44.702	19.318
ENSDARG00000105512	0	0	0	0	0	28.906	0	3	0	0	0	0
ENSDARG00000105513	41	56	42	92	42	32	65	41	65	58	33	47
ENSDARG00000105514	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000105517	0	0	0	14.038	0	0	0	12.648	0	0	0	0
ENSDARG00000105519	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000105520	11	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000105521	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000105522	111	104	33	162	61	5	60	26	23	110	9	0
ENSDARG00000105524	47.312	72.555	83.223	35.008	35.265	0	19.143	42.203	23.836	121.003	32.51	23.174
ENSDARG00000105525	186	271	174	92	10	59	197	203	242	164	123	86
ENSDARG00000105526	390.112	597.925	623.47	579.026	492.102	481.13	540.625	352.63	654.52	609.906	333.291	636.253
ENSDARG00000105527	1268	1791	1668	1284	1333	1238	1305	1650	1746	1051	1227	1282
ENSDARG00000105528	0	0	0	21	43	32	0	5	9	0	34	0
ENSDARG00000105529	2771	4020	3098	2641	1507	1500	2663	3398	3123	1927	2006	2998
ENSDARG00000105530	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000105532	471	790	423	471	516	520	559	593	798	432	303	549
ENSDARG00000105534	0	0	29	12.962	0	0	0	12.352	5.019	0	0	0
ENSDARG00000105536	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000105537	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000105538	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000105539	0	0	0	0	0	0	7.969	0	0	0	0	0
ENSDARG00000105540	8.316	55.611	0	25	17.015	0	0	63.111	26.684	0	0	53.774
ENSDARG00000105541	32.015	27.89	21.19	72.808	1.083	26.176	14.806	24.592	34.865	0	10.046	5.007
ENSDARG00000105542	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000105543	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000105544	0	24	0	0	0	0	12	7	31	0	0	0
ENSDARG00000105545	0	6.417	0	111.657	37.686	10.278	80.628	21.051	26.457	71.116	0	21.115
ENSDARG00000105546	0	0	13.778	0	0	0	0	0	0	0	0	0
ENSDARG00000105547	26.694	25.572	0	45.016	62.75	10.703	0	13.978	43.219	0	0	29.3
ENSDARG00000105548	0	0	7	25	0	8	0	0	22	0	0	0
ENSDARG00000105549	961.248	1484.701	1109.678	966.142	662.831	643.299	1185.163	1319.341	1185.484	938.951	565.891	937.475
ENSDARG00000105550	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000105551	98	144	76	113	26	33	44	65	83	42	144	100
ENSDARG00000105552	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000105553	0	55.197	20.56	0	0	4.254	90.829	50.645	33.097	65	0	84
ENSDARG00000105554	6	8	0	0	0	0	20	0	0	0	0	0
ENSDARG00000105555	0	20.464	0	0	0	0	0	0	0	0	0	0
ENSDARG00000105557	226	301	238	495	361	214	233	261	207	255	186	496
ENSDARG00000105558	0	4	0	0	0	4	0	8	0	0	0	0
ENSDARG00000105561	47	24	31	36	0	0	101	51	32	0	21	45
ENSDARG00000105562	204.483	134.131	15.382	242.568	177.1	122.849	120.057	150.026	186.345	146.984	21.04	116.209
ENSDARG00000105563	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000105564	64	173	221	246	76	299	189	66	213	124	29	187
ENSDARG00000105566	7.478	5.211	0	0	0	0	0	8.352	37.813	0	0	0
ENSDARG00000105567	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000105568	26	13.167	22	16	0	0	0	15	10.692	0	45	0
ENSDARG00000105570	195.863	230.234	163.867	190.977	124.043	77	215.708	254.207	108.91	222	161.977	229.549
ENSDARG00000105572	14	10	0	0	0	0	0	8	9	0	0	0
ENSDARG00000105573	12	0	0	0	0	0	0	0	15	0	0	15
ENSDARG00000105574	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000105575	138	185	136	153	127	102	1	83	111	118	156	104
ENSDARG00000105576	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000105578	45	43	34	120	82	132	47	10	46	82	62	105
ENSDARG00000105580	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000105581	0	0	0	23	0	0	0	0	0	0	0	0
ENSDARG00000105582	0	6	21	0	0	0	0	0	0	0	0	0
ENSDARG00000105583	18.385	2	6.001	0	0	30	45	65	11	1.011	21	28
ENSDARG00000105584	14	10	7	27	17	0	0	0	23	0	0	0
ENSDARG00000105585	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000105586	43.289	23.747	8	40.688	9.165	42	10.037	8.153	55.497	34	47	0
ENSDARG00000105588	6	0	0	0	31	40	21	19.007	7	0	0	0
ENSDARG00000105589	12	24	6	56	20	0	0	10	12	0	0	55
ENSDARG00000105590	110	193	47	198	258	73	144	73	199	50	35	87
