 ,Area,Mean,Min,Max,IntDen,RawIntDen
1,999564.069,179.072,66,1040,178994409.812,17486427.000
2,999564.069,129.214,52,633,129157742.195,12617754.000
3,999564.069,69.995,35,263,69964643.087,6835027.000
4,999564.069,40.969,26,94,40950906.431,4000600.000
5,999564.069,163.589,65,1008,163517902.921,15974487.000
6,999564.069,118.776,52,673,118723869.692,11598442.000
7,999564.069,66.135,35,264,66105885.625,6458055.000
8,999564.069,39.970,28,93,39952222.675,3903036.000
9,999564.069,164.885,63,740,164813067.718,16101015.000
10,999564.069,119.608,51,509,119555611.406,11679697.000
11,999564.069,66.599,35,229,66570035.478,6503399.000
12,999564.069,40.287,26,83,40269759.562,3934057.000
13,999564.069,159.987,63,1111,159917312.437,15622736.000
14,999564.069,116.587,51,769,116536395.637,11384742.000
15,999564.069,65.091,35,298,65062991.760,6356172.000
16,999564.069,39.745,27,95,39727906.782,3881122.000
17,999564.069,173.405,64,1127,173329496.890,16933007.000
18,999564.069,125.465,51,765,125409996.228,12251627.000
19,999564.069,68.568,35,314,68538536.932,6695707.000
20,999564.069,40.799,26,100,40780954.949,3983997.000
21,999564.069,165.910,65,1146,165837229.354,16201068.000
22,999564.069,120.584,51,757,120531079.481,11774993.000
23,999564.069,66.653,35,321,66623867.608,6508658.000
24,999564.069,40.252,27,105,40233953.365,3930559.000
25,999564.069,179.276,64,875,179197741.514,17506291.000
26,999564.069,129.159,51,588,129102425.818,12612350.000
27,999564.069,69.867,36,264,69836956.838,6822553.000
28,999564.069,41.088,28,93,41070311.601,4012265.000
29,999564.069,154.399,61,1029,154331617.398,15077055.000
30,999564.069,112.733,49,690,112684291.700,11008420.000
31,999564.069,63.732,34,292,63704065.727,6223415.000
32,999564.069,39.361,27,95,39343609.456,3843579.000
