 ,Area,Mean,Min,Max,IntDen,RawIntDen
1,999564.069,95.963,52,637,95920737.311,9370745.000
2,999564.069,74.448,44,454,74416004.364,7269892.000
3,999564.069,48.742,32,204,48720523.567,4759634.000
4,999564.069,35.809,27,82,35793258.199,3496736.000
5,999564.069,103.858,52,493,103812646.222,10141726.000
6,999564.069,79.415,44,337,79379891.733,7754827.000
7,999564.069,50.612,33,161,50589600.895,4942229.000
8,999564.069,36.491,27,67,36475336.562,3563370.000
9,999564.069,92.392,48,441,92351561.698,9022063.000
10,999564.069,72.021,42,319,71989105.797,7032802.000
11,999564.069,47.911,32,147,47890255.864,4678523.000
12,999564.069,35.498,26,66,35482252.002,3466353.000
13,999564.069,93.740,52,661,93699340.518,9153731.000
14,999564.069,72.932,44,472,72900341.772,7121823.000
15,999564.069,48.054,32,207,48033460.179,4692513.000
16,999564.069,35.749,27,80,35733878.054,3490935.000
17,999564.069,98.912,49,425,98869374.542,9658805.000
18,999564.069,76.346,41,293,76312668.227,7455182.000
19,999564.069,49.415,31,142,49393266.523,4825356.000
20,999564.069,35.705,26,63,35689606.527,3486610.000
21,999564.069,103.493,51,693,103447869.314,10106090.000
22,999564.069,79.190,40,460,79155739.619,7732929.000
23,999564.069,50.588,32,212,50566088.364,4939932.000
24,999564.069,36.234,26,80,36217865.645,3538217.000
25,999564.069,98.578,50,482,98535101.483,9626149.000
26,999564.069,75.955,42,340,75921758.322,7416993.000
27,999564.069,49.386,33,155,49364124.087,4822509.000
28,999564.069,36.067,27,69,36051292.106,3521944.000
29,999564.069,98.604,49,561,98560610.071,9628641.000
30,999564.069,76.030,39,383,75996636.061,7424308.000
31,999564.069,49.298,31,171,49276461.346,4813945.000
32,999564.069,35.766,27,73,35750614.227,3492570.000
