Phase,BaselineProp,PropMean.t0_UF,PropMean.t1_15HF,PropMean.t2_30HF,PropMean.t3_60HF,PropMean.t4_120HF,PropMean.t5_240HF,Fstatistic,P.Value,FDR,cluster
S,0.009564293304994687,0.007490636704119851,0.010416666666666668,0.007874015748031494,0.018455098934550985,-1.2266347333466992e-18,0.010638297872340424,1.3611414598390859,0.23549575585972804,0.35324363378959206,TasteBud12_11
G1,0.9787460148777896,0.9801167658074469,0.9895833333333335,0.9702332769151519,0.9676560121765605,0.9812280701754383,0.9893617021276592,0.6768982374493029,0.6409330169545117,0.6409330169545117,TasteBud12_11
G2M,0.007757404795486601,0.008272859216255445,0.01234567901234568,0.010761238337574211,1.0015430658247728e-18,0.01162790697674418,-1.2266347333466992e-18,1.3544308486467647,0.2381444163895969,0.39937205859625874,PharynArch_79
S,0.013399153737658674,0.015387666331062562,-0,0.013888888888888885,0.00724637681159421,0.030718500520652538,0.019568151147098492,1.2868005488553782,0.2662480390641725,0.39937205859625874,PharynArch_79
G1,0.9788434414668548,0.9763394744526821,0.9876543209876545,0.9753498727735367,0.992753623188406,0.9576535925026026,0.980431848852901,0.3438406470773734,0.8864716523419958,0.8864716523419958,PharynArch_79
S,0.008641975308641974,-0,0.00723622782446312,-0,0.002150537634408601,0.07142857142857138,0.03351648351648348,2.2367531146157797,0.047855763742902416,0.14356729122870726,Periderm_218
G1,0.9666666666666667,0.9972677595628414,0.966386554621849,0.9458333333333331,0.9892473118279568,0.9285714285714284,0.952197802197802,0.9205718758970418,0.4662402531794084,0.5815387834659332,Periderm_218
G2M,0.024691358024691357,0.0027322404371584704,0.02637721755368815,0.054166666666666655,0.008602150537634407,-7.359808400080195e-18,0.014285714285714284,0.7559543266032858,0.5815387834659332,0.5815387834659332,Periderm_218
S,0.007857142857142858,0.02229601518026566,0.006211180124223605,0.0014925373134328315,0.0512820512820513,0.03846153846153844,-4.906538933386797e-18,0.7058172301627427,0.6198631341584931,0.9573779405017131,FastMuscle_271
G1,0.9814285714285714,0.9701515014607996,0.9519036116862206,0.9910447761194029,0.9453846153846157,0.961538461538461,0.9907407407407401,0.3813941574480418,0.861000452445572,0.9573779405017131,FastMuscle_271
G2M,0.010714285714285714,0.007552483358934973,0.041885208189556024,0.007462686567164177,0.0033333333333333283,-2.4532694666933983e-18,0.009259259259259254,0.21121508895728264,0.9573779405017131,0.9573779405017131,FastMuscle_271
S,0.012377850162866449,0.003490401396160559,0.006802721088435375,0.011564449064449067,0.007659932659932661,0.045470144131777614,0.01337889752523898,2.820176982571738,0.014981122983079357,0.044943368949238074,CraniaCart_240
G2M,0.021498371335504887,0.01824981301421092,0.022517479213907787,0.011261261261261259,0.03527516544757924,0.026767330130404936,0.015121057803984626,1.69279685321294,0.13245068733458343,0.19867603100187514,CraniaCart_240
G1,0.9661237785016287,0.9782597855896287,0.9706797996976569,0.9771742896742895,0.957064901892488,0.9277625257378171,0.971500044670776,1.3055595303059695,0.258192079672756,0.258192079672756,CraniaCart_240
G2M,0.005970149253731343,0.03097435897435898,0.009432182607055271,0.008474576271186439,3.0046291974743185e-18,-1.2266347333466992e-18,5.607030546517287e-19,1.0527624981742452,0.3845397157967919,0.5144690132036971,PharEpiPer_221
S,0.020895522388059702,0.03364102564102565,0.018864365214110543,0.010989010989010988,0.011296859169199605,0.052631578947368404,0.036603692571919255,1.0168356311612938,0.4056936644813427,0.5144690132036971,PharEpiPer_221
G1,0.9731343283582089,0.9353846153846155,0.9717034521788344,0.9805364127398024,0.9887031408308007,0.947368421052631,0.9633963074280802,0.849343088090217,0.5144690132036971,0.5144690132036971,PharEpiPer_221
G2M,0.007716049382716049,0.01935336976320583,0.009661835748792272,-0,1.7527003651933522e-18,-0,0,1.7993757669061377,0.1343061447999017,0.4029184343997051,Mesenchyme_47
G1,0.9845679012345679,0.9697176684881605,0.9903381642512079,0.9999999999999999,0.983739837398374,0.9999999999999996,0.9913793103448272,0.9551528974548329,0.4562360792782302,0.6843541189173452,Mesenchyme_47
S,0.007716049382716049,0.010928961748633882,-0,-0,0.016260162601626015,-0,0.008620689655172408,0.4289929089740035,0.8257674986790724,0.8257674986790724,Mesenchyme_47
