 ,Area,Mean,Min,Max,IntDen,RawIntDen
1,999564.069,133.174,60,1316,133115545.042,13004402.000
2,999564.069,98.947,48,911,98904341.371,9662221.000
3,999564.069,58.043,33,363,58018189.085,5667947.000
4,999564.069,38.082,27,125,38064924.926,3718661.000
5,999564.069,143.757,65,515,143694034.455,14037842.000
6,999564.069,105.982,51,356,105936021.248,10349164.000
7,999564.069,61.088,36,159,61061234.708,5965230.000
8,999564.069,38.823,26,68,38806055.876,3791064.000
9,999564.069,144.927,61,2029,144863846.855,14152124.000
10,999564.069,106.632,50,1379,106585609.941,10412624.000
11,999564.069,61.618,35,559,61590711.932,6016956.000
12,999564.069,38.939,27,161,38922072.867,3802398.000
13,999564.069,154.576,64,875,154508457.837,15094331.000
14,999564.069,112.847,49,610,112797432.321,11019473.000
15,999564.069,63.775,34,254,63747426.233,6227651.000
16,999564.069,39.333,25,91,39315756.780,3840858.000
17,999564.069,149.634,61,471,149568717.643,14611755.000
18,999564.069,109.461,48,326,109413122.321,10688851.000
19,999564.069,62.360,34,162,62333296.422,6089501.000
20,999564.069,39.138,26,63,39121207.730,3821852.000
21,999564.069,130.896,62,666,130839261.793,12782026.000
22,999564.069,97.282,51,490,97239598.891,9499588.000
23,999564.069,57.355,33,196,57330429.636,5600758.000
24,999564.069,37.721,27,74,37704764.540,3683476.000
25,999564.069,130.322,65,672,130265390.207,12725963.000
26,999564.069,96.646,51,441,96604197.560,9437514.000
27,999564.069,57.560,34,204,57535112.515,5620754.000
28,999564.069,37.885,26,73,37868226.277,3699445.000
29,999564.069,140.388,56,690,140326911.020,13708899.000
30,999564.069,103.732,49,481,103687170.991,10129468.000
31,999564.069,60.050,34,218,60023520.354,5863853.000
32,999564.069,38.710,26,84,38692956.200,3780015.000
