gene_cluster,response_groups
prkx_BrancPorEp-120,5
nr3c2_BrancPorEp-120,3
hpgd_BrancPorEp-120,4
FO834828.2_BrancPorEp-120,4
abca1a_BrancPorEp-120,4
ucp1_BrancPorEp-120,6
dnajb1b_BrancPorEp-120,2
bzw1b_BrancPorEp-120,6
irs2b_BrancPorEp-120,6
crfb4_BrancPorEp-120,5
scel_BrancPorEp-120,6
tsc22d1_BrancPorEp-120,5
neb_BrancPorEp-120,3
nabp1a_BrancPorEp-120,1
hspd1_BrancPorEp-120,5
rcan1a_BrancPorEp-120,2
nab1b_BrancPorEp-120,5
ttn.1_BrancPorEp-120,3
ttn.2_BrancPorEp-120,3
itprid2_BrancPorEp-120,3
fign_BrancPorEp-120,4
grb10b_BrancPorEp-120,4
sntb1_BrancPorEp-120,5
nbeal2_BrancPorEp-120,5
myh14_BrancPorEp-120,5
rapgef5b_BrancPorEp-120,5
hdac9b_BrancPorEp-120,5
osbpl3b_BrancPorEp-120,5
tuft1a_BrancPorEp-120,1
si:ch211-105c13.3_BrancPorEp-120,5
cadm4_BrancPorEp-120,3
si:dkey-79d12.5_BrancPorEp-120,6
prss1_BrancPorEp-120,4
prss59.2_BrancPorEp-120,4
trim35-28_BrancPorEp-120,5
nr4a3_BrancPorEp-120,6
rhbg_BrancPorEp-120,3
hivep3b_BrancPorEp-120,5
ptprub_BrancPorEp-120,6
stt3b_BrancPorEp-120,5
gapdhs_BrancPorEp-120,2
paqr6_BrancPorEp-120,4
nr2f5_BrancPorEp-120,5
eif3ha_BrancPorEp-120,5
nkd2a_BrancPorEp-120,3
sptlc2b_BrancPorEp-120,1
dsc2l_BrancPorEp-120,4
flrt2_BrancPorEp-120,5
nfkbiaa_BrancPorEp-120,6
sox7_BrancPorEp-120,6
prkchb_BrancPorEp-120,4
akap12b_BrancPorEp-120,5
gmds_BrancPorEp-120,5
pdia6_BrancPorEp-120,5
apobb.1_BrancPorEp-120,3
sesn1_BrancPorEp-120,4
ptgs2b_BrancPorEp-120,6
ncoa1_BrancPorEp-120,3
hivep2a_BrancPorEp-120,5
fosab_BrancPorEp-120,6
hsp90ab1_BrancPorEp-120,6
hsp90aa1.2_BrancPorEp-120,5
hsp70l_BrancPorEp-120,2
mknk2b_BrancPorEp-120,4
slc38a5a_BrancPorEp-120,6
rhocb_BrancPorEp-120,5
cebpb_BrancPorEp-120,6
dock8_BrancPorEp-120,3
RALGDS_BrancPorEp-120,6
adrb3a_BrancPorEp-120,5
chmp4bb_BrancPorEp-120,6
entpd4_BrancPorEp-120,5
egr3_BrancPorEp-120,1
actc1b_BrancPorEp-120,3
nfkbiab_BrancPorEp-120,6
zgc:162183_BrancPorEp-120,6
abhd12_BrancPorEp-120,3
si:ch211-125o16.4_BrancPorEp-120,3
abch1_BrancPorEp-120,4
lpin1_BrancPorEp-120,6
ldah_BrancPorEp-120,5
kidins220a_BrancPorEp-120,4
mboat2a_BrancPorEp-120,5
zgc:174356_BrancPorEp-120,4
fosl2_BrancPorEp-120,1
ahsa1b_BrancPorEp-120,2
tlx2_BrancPorEp-120,5
si:ch211-39i2.2_BrancPorEp-120,2
zgc:92242_BrancPorEp-120,6
hspa9_BrancPorEp-120,2
znf185_BrancPorEp-120,3
dusp1_BrancPorEp-120,6
canx_BrancPorEp-120,5
sqstm1_BrancPorEp-120,1
selenot2_BrancPorEp-120,6
ids_BrancPorEp-120,3
egr1_BrancPorEp-120,6
nr3c1_BrancPorEp-120,3
arhgef37_BrancPorEp-120,2
TSC22D3_BrancPorEp-120,6
fosl1a_BrancPorEp-120,1
arhgef6_BrancPorEp-120,5
stard14_BrancPorEp-120,6
nocta_BrancPorEp-120,6
mcu_BrancPorEp-120,5
epcam_BrancPorEp-120,6
anxa11a_BrancPorEp-120,1
march8_BrancPorEp-120,3
usp54a_BrancPorEp-120,5
smap1_BrancPorEp-120,5
lgmn_BrancPorEp-120,4
si:dkey-221j11.3_BrancPorEp-120,6
rsrp1_BrancPorEp-120,2
herc4_BrancPorEp-120,1
mctp2a_BrancPorEp-120,3
slco3a1_BrancPorEp-120,5
itpkcb_BrancPorEp-120,6
fosb_BrancPorEp-120,6
bcl2l10_BrancPorEp-120,6
barx2_BrancPorEp-120,5
sult2st1_BrancPorEp-120,3
tob1b_BrancPorEp-120,6
SLC39A11_BrancPorEp-120,5
ca15c_BrancPorEp-120,1
rbp4_BrancPorEp-120,6
cyth3a_BrancPorEp-120,5
AL732488.2_BrancPorEp-120,5
fasn_BrancPorEp-120,1
bahcc1b_BrancPorEp-120,5
si:dkey-239b22.1_BrancPorEp-120,5
si:ch73-329n5.1_BrancPorEp-120,5
FO904966.1_BrancPorEp-120,5
zgc:153932.1_BrancPorEp-120,5
mcl1a_BrancPorEp-120,6
rplp1_BrancPorEp-120,4
si:ch211-149a19.3_BrancPorEp-120,5
ZC3H12A_BrancPorEp-120,6
pdk2b_BrancPorEp-120,6
pvrl2l_BrancPorEp-120,5
spag1a_BrancPorEp-120,2
osbpl3a_BrancPorEp-120,1
pard6gb_BrancPorEp-120,5
si:ch211-152p11.4_BrancPorEp-120,6
mfsd2ab_BrancPorEp-120,6
elmo1_BrancPorEp-120,3
si:ch211-250g4.3_BrancPorEp-120,6
nme2b.2_BrancPorEp-120,3
ftr86_BrancPorEp-120,2
si:dkey-202l22.6_BrancPorEp-120,6
zgc:162730_BrancPorEp-120,6
zbtb16b_BrancPorEp-120,4
ulk2_BrancPorEp-120,6
myo1cb_BrancPorEp-120,5
stard13b_BrancPorEp-120,3
stim1a_BrancPorEp-120,1
nlrc8_BrancPorEp-120,4
krt8_BrancPorEp-120,6
chl1a_BrancPorEp-120,4
g6pd_BrancPorEp-120,1
tnnc2_BrancPorEp-120,3
zgc:154075_BrancPorEp-120,6
rap1gap_BrancPorEp-120,3
ctdsp2_BrancPorEp-120,4
si:dkey-151g10.6_BrancPorEp-120,4
tnfrsf9a_BrancPorEp-120,3
sgk1_BrancPorEp-120,6
nr4a1_BrancPorEp-120,6
rapgef3_BrancPorEp-120,5
nfatc2a_BrancPorEp-120,5
klf4_BrancPorEp-120,6
shroom3_BrancPorEp-120,3
ccng2_BrancPorEp-120,6
prodha_BrancPorEp-120,6
si:dkey-11o15.5_BrancPorEp-120,3
cldnb_BrancPorEp-120,6
hbegfb_BrancPorEp-120,5
hspa4a_BrancPorEp-120,2
b3gnt5a_BrancPorEp-120,5
arrdc2_BrancPorEp-120,3
rpn2_BrancPorEp-120,5
prkcdb_BrancPorEp-120,6
chia.2_BrancPorEp-120,6
cyldb_BrancPorEp-120,6
ace2_BrancPorEp-120,6
ier2b_BrancPorEp-120,6
gnai2a_BrancPorEp-120,5
sult6b1_BrancPorEp-120,2
ets2_BrancPorEp-120,6
pptc7b_BrancPorEp-120,6
rabgap1_BrancPorEp-120,4
strbp_BrancPorEp-120,5
ptbp3_BrancPorEp-120,3
zfand5b_BrancPorEp-120,6
rab38b_BrancPorEp-120,4
bach1b_BrancPorEp-120,5
hyou1_BrancPorEp-120,5
opcml_BrancPorEp-120,6
si:dkey-259j3.5_BrancPorEp-120,6
ucp2_BrancPorEp-120,6
dhrs13a.2_BrancPorEp-120,6
zgc:113625_BrancPorEp-120,5
CU467905.1_BrancPorEp-120,6
csrnp1b_BrancPorEp-120,6
pde7a_BrancPorEp-120,4
hhla2b.2_BrancPorEp-120,3
hhla2b.1_BrancPorEp-120,4
klhl24b_BrancPorEp-120,4
map3k15_BrancPorEp-120,6
vav3a_BrancPorEp-120,4
cnn3a_BrancPorEp-120,6
f3a_BrancPorEp-120,6
capn15_BrancPorEp-120,5
btg2_BrancPorEp-120,6
nuak2_BrancPorEp-120,6
dnase1l4.1_BrancPorEp-120,4
cela1.6_BrancPorEp-120,4
krt97_BrancPorEp-120,6
midn_BrancPorEp-120,6
si:ch211-129c21.1_BrancPorEp-120,6
rgs2_BrancPorEp-120,6
hmox2a_BrancPorEp-120,4
slc7a5_BrancPorEp-120,5
ccnd2a_BrancPorEp-120,4
pkp3a_BrancPorEp-120,6
hsd17b12a_BrancPorEp-120,2
CABZ01080568.1_BrancPorEp-120,2
CABZ01069162.1_BrancPorEp-120,4
trpm1a_CardiacMus-185,5
ctrb1_CardiacMus-185,4
cd59_CardiacMus-185,5
BX005003.1_CardiacMus-185,6
si:ch211-260e23.9_CardiacMus-185,3
myhz1.2_CardiacMus-185,3
mbpb_CardiacMus-185,5
hsp90aa1.2_CardiacMus-185,2
hsp90aa1.1_CardiacMus-185,2
unc45b_CardiacMus-185,1
marcksl1b_CardiacMus-185,5
serpinh1b_CardiacMus-185,5
si:dkey-200l5.4_CardiacMus-185,5
ctnnd2a_CardiacMus-185,5
tnnt3b_Cartilage-245,3
ttn.2_Cartilage-245,3
cela1.6_Cartilage-245,4
zgc:112160_Cartilage-78,4
ctrb1_Cartilage-78,4
BX511128.3_Cartilage-78,5
tcnba_Cartilage-78,1
myhz1.3_Cartilage-78,3
myhz1.2_Cartilage-78,3
myhz1.1_Cartilage-78,4
hsp70.2_Cartilage-78,1
ttn.2_Cartilage-78,3
prss1_Cartilage-78,4
lpin1_Cartilage-78,4
fosb_Cartilage-78,6
thrab_Cartilage-78,5
ulk2_Cartilage-78,1
pknox2_Cartilage-78,5
