gene_cluster,response_groups
si:dkey-79d12.5_FinPerider-29,6
prss1_FinPerider-29,4
prss59.1_FinPerider-29,4
prss59.2_FinPerider-29,4
nr4a3_FinPerider-29,6
ppp2r5a_FinPerider-29,5
nfkbiaa_FinPerider-29,6
tdh_FinPerider-29,4
chac1_FinPerider-29,6
fosab_FinPerider-29,6
jdp2b_FinPerider-29,6
hsp90aa1.2_FinPerider-29,1
pptc7a_FinPerider-29,6
mknk2b_FinPerider-29,6
RALGDS_FinPerider-29,6
egr3_FinPerider-29,6
actc1b_FinPerider-29,4
nfkbiab_FinPerider-29,6
abch1_FinPerider-29,4
lpin1_FinPerider-29,4
crim1_FinPerider-29,4
fosl2_FinPerider-29,6
zgc:92242_FinPerider-29,6
dusp1_FinPerider-29,6
selenot2_FinPerider-29,6
slc36a1_FinPerider-29,4
stard14_FinPerider-29,6
lonrf1_FinPerider-29,4
nocta_FinPerider-29,6
tnfaip3_FinPerider-29,6
gfra4a_FinPerider-29,6
acta1b_FinPerider-29,3
unc5b_FinPerider-29,5
arg2_FinPerider-29,6
si:dkey-221j11.3_FinPerider-29,6
fosb_FinPerider-29,6
tob1b_FinPerider-29,6
atp2a1l_FinPerider-29,4
ptenb_FinPerider-29,2
svila_FinPerider-29,3
fasn_FinPerider-29,1
si:ch73-181m17.1_FinPerider-29,4
CABZ01048956.1_FinPerider-29,6
mcl1a_FinPerider-29,6
pkhd1l1_FinPerider-29,1
xkr8.2_FinPerider-29,4
si:ch211-152p11.4_FinPerider-29,6
mfsd2ab_FinPerider-29,6
elmo1_FinPerider-29,5
foxo1a_FinPerider-29,6
si:dkey-202l22.6_FinPerider-29,6
sik2b_FinPerider-29,6
ksr1b_FinPerider-29,5
ctrl_FinPerider-29,4
ngef_FinPerider-29,6
chl1a_FinPerider-29,5
tnnc2_FinPerider-29,3
sgk1_FinPerider-29,6
hoxc3a_FinPerider-29,5
klf4_FinPerider-29,6
ccng2_FinPerider-29,6
bicdl2l_FinPerider-29,5
klf5l_FinPerider-29,6
cpeb4b_FinPerider-29,1
CU179643.1_FinPerider-29,5
mapkapk2a_FinPerider-29,4
ier2b_FinPerider-29,6
rabgap1_FinPerider-29,5
il11ra_FinPerider-29,5
ucp2_FinPerider-29,4
dhrs13a.2_FinPerider-29,6
zgc:113625_FinPerider-29,5
CU467905.1_FinPerider-29,6
klhl24b_FinPerider-29,4
arhgap29a_FinPerider-29,4
cela1.6_FinPerider-29,4
midn_FinPerider-29,6
dusp5_FinPerider-29,6
prickle1a_FinPerider-29,6
cpa5_FinPerider-29,4
pkp3a_FinPerider-29,6
CABZ01080568.1_FinPerider-29,2
clcn2b_FinPerider-29,6
slc38a4_FinPerider-30,6
csrp2_FinPerider-30,6
pkp2_FinPerider-30,6
CR926130.2_FinPerider-30,3
si:ch73-335l21.1_FinPerider-30,1
si:ch73-335l21.4_FinPerider-30,6
kdm6ba_FinPerider-30,6
si:dkey-172j4.3_FinPerider-30,5
eif4a1a_FinPerider-30,1
tnk1_FinPerider-30,6
tpma_FinPerider-30,3
ctrb1_FinPerider-30,4
tnnt3b_FinPerider-30,3
myo9aa_FinPerider-30,3
rbpjb_FinPerider-30,5
npas2_FinPerider-30,6
myhz2_FinPerider-30,3
myhz1.1_FinPerider-30,3
ckma_FinPerider-30,3
tmprss13b_FinPerider-30,6
rasgef1ba_FinPerider-30,6
arid3c_FinPerider-30,1
gldc_FinPerider-30,2
ak1_FinPerider-30,3
hlfa_FinPerider-30,5
arl5c_FinPerider-30,6
CR751227.2_FinPerider-30,3
hsp70.2_FinPerider-30,1
hsp70.3_FinPerider-30,1
socs3a_FinPerider-30,6
pvalb1_FinPerider-30,3
sec23b_FinPerider-30,6
dlg1_FinPerider-30,5
rhcgl1_FinPerider-30,4
vdrb_FinPerider-30,4
krt4_FinPerider-30,1
magi3b_FinPerider-30,5
rps26l_FinPerider-30,1
prelid3b_FinPerider-30,6
npc1_FinPerider-30,6
prdx1_FinPerider-30,2
f3b_FinPerider-30,6
amy2a_FinPerider-30,4
elovl1a_FinPerider-30,6
ptgs2a_FinPerider-30,6
csrnp1a_FinPerider-30,4
plk3_FinPerider-30,6
crema_FinPerider-30,6
jund_FinPerider-30,6
mylz3_FinPerider-30,3
b4galt1_FinPerider-30,6
tbck_FinPerider-30,5
bzw1b_FinPerider-30,6
neb_FinPerider-30,3
ttn.1_FinPerider-30,3
ttn.2_FinPerider-30,3
itprid2_FinPerider-30,5
cobll1b_FinPerider-30,3
trim71_FinPerider-30,5
mpp6a_FinPerider-30,6
tuft1a_FinPerider-30,6
apoa4b.2.1_FinPerider-30,3
si:dkey-79d12.5_FinPerider-30,6
prss1_FinPerider-30,4
prss59.2_FinPerider-30,4
nr4a3_FinPerider-30,6
flrt2_FinPerider-30,5
ppp2r5a_FinPerider-30,5
jun_FinPerider-30,6
nfkbiaa_FinPerider-30,6
prkchb_FinPerider-30,6
daam1b_FinPerider-30,4
chac1_FinPerider-30,6
msra_FinPerider-30,4
fosab_FinPerider-30,6
jdp2b_FinPerider-30,6
mknk2b_FinPerider-30,6
slc38a5a_FinPerider-30,6
cebpb_FinPerider-30,6
RALGDS_FinPerider-30,6
slc23a2_FinPerider-30,6
nfkbiab_FinPerider-30,6
abch1_FinPerider-30,4
lpin1_FinPerider-30,6
crim1_FinPerider-30,4
fosl2_FinPerider-30,6
si:ch211-39i2.2_FinPerider-30,6
zgc:92242_FinPerider-30,6
dusp1_FinPerider-30,6
slc43a3b_FinPerider-30,5
selenot2_FinPerider-30,6
si:rp71-46j2.7_FinPerider-30,6
stard14_FinPerider-30,6
ctso_FinPerider-30,4
nocta_FinPerider-30,6
tnfaip3_FinPerider-30,6
zgc:193505_FinPerider-30,4
unc5b_FinPerider-30,5
arg2_FinPerider-30,6
rrbp1a_FinPerider-30,6
si:dkey-221j11.3_FinPerider-30,6
itga9_FinPerider-30,5
n4bp1_FinPerider-30,6
mctp2a_FinPerider-30,5
tiparp_FinPerider-30,6
fosb_FinPerider-30,6
barx2_FinPerider-30,5
tob1b_FinPerider-30,6
mylpfb_FinPerider-30,3
si:ch211-277e21.1_FinPerider-30,5
mcl1a_FinPerider-30,6
cyt1l_FinPerider-30,5
krt91_FinPerider-30,6
mbpa_FinPerider-30,4
jarid2b_FinPerider-30,6
si:ch211-152p11.4_FinPerider-30,6
mfsd2ab_FinPerider-30,6
pef1_FinPerider-30,6
si:ch211-250g4.3_FinPerider-30,5
nme2b.2_FinPerider-30,3
apoa1b_FinPerider-30,6
foxo1a_FinPerider-30,6
slc1a5_FinPerider-30,6
si:dkey-202l22.6_FinPerider-30,6
zbtb16b_FinPerider-30,3
sik2b_FinPerider-30,6
slc43a2a_FinPerider-30,6
ssh2a_FinPerider-30,6
ksr1b_FinPerider-30,5
sh3bp5la_FinPerider-30,6
ngef_FinPerider-30,6
foxp1a_FinPerider-30,6
chl1a_FinPerider-30,3
zgc:158263_FinPerider-30,4
slc25a33_FinPerider-30,6
klf4_FinPerider-30,6
ccng2_FinPerider-30,6
f2rl1.2_FinPerider-30,6
bicdl2l_FinPerider-30,6
pacs1a_FinPerider-30,5
klf5l_FinPerider-30,6
arrdc2_FinPerider-30,4
mapkapk2a_FinPerider-30,1
cyldb_FinPerider-30,6
ier2b_FinPerider-30,6
rabgap1_FinPerider-30,4
slc20a1b_FinPerider-30,6
hspa8_FinPerider-30,1
ucp2_FinPerider-30,6
dhrs13a.2_FinPerider-30,6
myo18aa_FinPerider-30,5
rps25_FinPerider-30,6
CU467905.1_FinPerider-30,6
arrdc3b_FinPerider-30,6
ncoa2_FinPerider-30,5
klhl24b_FinPerider-30,4
arhgap29a_FinPerider-30,4
btg2_FinPerider-30,6
nuak2_FinPerider-30,6
cela1.6_FinPerider-30,4
BX323453.1_FinPerider-30,1
midn_FinPerider-30,6
dusp5_FinPerider-30,6
fetub_FinPerider-30,6
prickle1a_FinPerider-30,6
immp2l_FinPerider-30,5
pkp3a_FinPerider-30,6
CABZ01080568.1_FinPerider-30,5
mt-co1_FinPerider-30,3
mt-co2_FinPerider-30,3
mt-co3_FinPerider-30,3
mt-cyb_FinPerider-30,3
clcn2b_FinPerider-30,4
myhz2_FloorPlate-112,3
myhz1.3_FloorPlate-112,3
myhz1.1_FloorPlate-112,3
mylpfa_FloorPlate-112,3
glula_FloorPlate-112,4
ttn.1_FloorPlate-112,3
ttn.2_FloorPlate-112,3
prss59.2_FloorPlate-112,4
sesn1_FloorPlate-112,4
lpin1_FloorPlate-112,6
ulk2_FloorPlate-112,6
tnni2a.4_FloorPlate-112,3
tpma_GillEpithe-130,3
smyhc2_GillEpithe-130,2
sfmbt2_GillEpithe-131,5
si:ch211-209n20.3_GillEpithe-131,5
myhz2_GillEpithe-131,3
myhz1.3_GillEpithe-131,3
myhz1.2_GillEpithe-131,3
myhz1.1_GillEpithe-131,3
myhb_GillEpithe-131,3
ttn.1_GillEpithe-131,3
ttn.2_GillEpithe-131,3
hsp90aa1.2_GillEpithe-131,1
actc1b_GillEpithe-131,3
atp2a1l_GillEpithe-131,4
fndc5b_GillEpithe-131,5
tpst1_GillEpithe-131,5
znf385a_GillEpithe-131,5
sox13_GillEpithe-131,5
vill_GillEpithe-131,1
zgc:112408_GillEpithe-131,5
smyhc2_GillEpithe-131,5
CABZ01080568.1_GillEpithe-131,5
myhz2_GranuleorN-165,2
myhz1.2_GranuleorN-165,3
neb_GranuleorN-165,3
ttn.1_GranuleorN-165,3
ttn.2_GranuleorN-165,3
prss1_GranuleorN-165,4
fabp7a_GranuleorN-165,3
neto1l_GranuleorN-165,1
col11a1a_GranuleorN-165,3
mt-nd3_GranuleorN-165,3
zgc:112160_GutProgeHM-228,4
ctrb1_GutProgeHM-228,4
BX005003.1_GutProgeHM-228,5
ela3l_GutProgeHM-228,4
myhz1.2_GutProgeHM-228,3
adgrl1a_GutProgeHM-228,5
si:ch211-67e16.11_GutProgeHM-228,5
creb1b_GutProgeHM-228,5
cadm4_GutProgeHM-228,5
prss59.2_GutProgeHM-228,4
sema6e_GutProgeHM-228,5
tg_GutProgeHM-228,5
ptprub_GutProgeHM-228,5
zfpm2a_GutProgeHM-228,5
sntg2_GutProgeHM-228,5
kdm1a_GutProgeHM-228,5
esrrga_GutProgeHM-228,5
fgf13a_GutProgeHM-228,5
CR786577.1_GutProgeHM-228,5
CR383676.2_GutProgeHM-228,5
CR383676.3_GutProgeHM-228,5
unc5a_GutProgeHM-228,5
nr2f2_GutProgeHM-228,5
LO017650.1_GutProgeHM-228,5
CR847968.1_GutProgeHM-228,5
cela1.6_GutProgeHM-228,4
CU571064.1_GutProgeHM-228,5
si:dkey-28k24.2.1_HairCell-7,5
atp2a1_HairCell-7,3
pvalb1_HairCell-7,3
ttn.1_HairCell-7,3
ttn.2_HairCell-7,3
prss1_HairCell-7,4
prss59.2_HairCell-7,3
elavl4_HairCell-7,6
rho_HairCell-7,5
lpin1_HairCell-7,6
nrxn2a_HairCell-7,6
myhz1.1.1_HairCell-7,2
cela1.6_HairCell-7,4
kcnd2_HairCell-8,1
tnnt3b_HairCell-8,3
cdh29_HairCell-8,1
srrm4_HairCell-8,5
myhz2_HairCell-8,3
myhz1.3_HairCell-8,3
myhz1.2_HairCell-8,5
ckma_HairCell-8,3
atp2a1_HairCell-8,3
si:ch73-367p23.2_HairCell-8,3
mylpfa_HairCell-8,3
foxj1a_HairCell-8,5
pvalb1_HairCell-8,3
mylz3_HairCell-8,3
peli1a_HairCell-8,5
neb_HairCell-8,3
ttn.1_HairCell-8,3
ttn.2_HairCell-8,3
actc1b_HairCell-8,3
lpin1_HairCell-8,6
acta1b_HairCell-8,3
csmd2_HairCell-8,6
ckmb_HairCell-8,3
tnnc2_HairCell-8,3
atp2b2_HairCell-8,6
myhz1.1.1_HairCell-8,3
akap13_HairCell-8,5
CABZ01080568.1_HairCell-8,1
myhz1.2_HeadMesStr-76,3
myhz1.1_HeadMesStr-76,4
satb1b_HeadMesStr-76,5
p4ha1b_HeadMesStr-76,5
lpin1_HeadMesStr-76,6
si:ch211-250g4.3_HeadMesStr-76,5
myhz1.1_Hepatocyte-244,3
nfixb_Hepatocyte-244,5
pvalb1_Hepatocyte-244,3
raph1b_Hepatocyte-244,5
dhrsx_Hepatocyte-244,5
GALNTL6_Hepatocyte-244,5
neurod1_Hepatocyte-244,5
creb5b_Hepatocyte-244,5
AL929058.1_Hepatocyte-244,5
si:ch211-251b21.1_Hepatocyte-244,5
bmp1a_Hepatocyte-244,5
actc1b_Hepatocyte-244,3
NPAS3_Hepatocyte-244,5
apln_Hepatocyte-244,5
ebf3a_Hepatocyte-244,5
zcchc24_Hepatocyte-244,5
mtss1la_Hepatocyte-244,5
ebf3a.1_Hepatocyte-244,5
sez6b_Hepatocyte-244,5
aplp1_Hepatocyte-244,5
plxna1a_Hepatocyte-244,5
ebf1b_Hepatocyte-244,5
neto1l_Hepatocyte-244,5
nfia_Hepatocyte-244,5
acsbg1_Hepatocyte-244,5
hsp90b1_Hepatocyte-4,2
bcat1_Hepatocyte-4,4
pah_Hepatocyte-4,4
snd1_Hepatocyte-4,5
si:dkey-191j3.2_Hepatocyte-4,5
ndrg2_Hepatocyte-4,5
dusp19b_Hepatocyte-4,3
si:dkey-85k7.7_Hepatocyte-4,6
dgkza_Hepatocyte-4,5
hspa5_Hepatocyte-4,5
sat1a.1_Hepatocyte-4,5
gda_Hepatocyte-4,4
si:ch211-186e20.7_Hepatocyte-4,5
myhz2_Hepatocyte-4,3
myhz1.2_Hepatocyte-4,3
myhz1.1_Hepatocyte-4,3
hsd20b2_Hepatocyte-4,1
DAB2_Hepatocyte-4,6
ldlra_Hepatocyte-4,3
atp2a1_Hepatocyte-4,3
mylpfa_Hepatocyte-4,3
pvalb1_Hepatocyte-4,3
pde6ha_Hepatocyte-4,4
lgals2b_Hepatocyte-4,3
pfkfb4b_Hepatocyte-4,6
pck1_Hepatocyte-4,4
prelid3b_Hepatocyte-4,6
vps4b_Hepatocyte-4,5
lpin2_Hepatocyte-4,4
slc25a36a_Hepatocyte-4,5
mylz3_Hepatocyte-4,3
bzw1b_Hepatocyte-4,6
cbsb_Hepatocyte-4,4
ttn.1_Hepatocyte-4,3
ttn.2_Hepatocyte-4,3
chac1_Hepatocyte-4,6
pdia6_Hepatocyte-4,5
gpcpd1_Hepatocyte-4,6
hsp90aa1.2_Hepatocyte-4,5
actc1b_Hepatocyte-4,3
gch1_Hepatocyte-4,6
p4ha1b_Hepatocyte-4,5
lpin1_Hepatocyte-4,6
si:dkey-35h6.1_Hepatocyte-4,4
mgat4b_Hepatocyte-4,5
fgfrl1a_Hepatocyte-4,5
slc25a48_Hepatocyte-4,4
rnf130_Hepatocyte-4,5
nocta_Hepatocyte-4,6
got1_Hepatocyte-4,4
gatm_Hepatocyte-4,5
tat_Hepatocyte-4,4
dusp22a_Hepatocyte-4,4
atp2a1l_Hepatocyte-4,3
oat_Hepatocyte-4,4
si:ch211-288g17.4_Hepatocyte-4,5
mfsd2ab_Hepatocyte-4,4
foxo1a_Hepatocyte-4,6
ulk2_Hepatocyte-4,6
BX663520.2_Hepatocyte-4,4
aplp1_Hepatocyte-4,5
slc25a33_Hepatocyte-4,6
stk35_Hepatocyte-4,1
c7b_Hepatocyte-4,6
slc7a3a_Hepatocyte-4,4
si:dkey-22f5.9_Hepatocyte-4,5
p4ha2_Hepatocyte-4,5
rpn2_Hepatocyte-4,1
mapkapk2a_Hepatocyte-4,4
tdo2b_Hepatocyte-4,4
si:dkeyp-61b2.1_Hepatocyte-4,4
errfi1a_Hepatocyte-4,6
hyou1_Hepatocyte-4,5
crp2.1_Hepatocyte-4,5
pnpla2_Hepatocyte-4,6
tnni2a.4_Hepatocyte-4,3
rps28_HepatStell-46,4
p4ha1b_HepatStell-46,5
lpin1_HepatStell-46,6
serpinh1b_HepatStell-46,5
tpma_InnerEarSC-65,3
ttn.1_InnerEarSC-65,3
ttn.2_InnerEarSC-65,3
prss59.2_InnerEarSC-65,4
actc1b_InnerEarSC-65,3
atp2a1l_InnerEarSC-65,4
eef1a1l1_InnerEarSC-65,4
cela1.6_InnerEarSC-65,4
snd1_IntestGobl-19,5
tcnba_IntestGobl-19,4
myhz1.2_IntestGobl-19,3
si:dkey-1h24.2_IntestGobl-19,5
ttn.2_IntestGobl-19,3
nr4a3_IntestGobl-19,2
hsp90aa1.2_IntestGobl-19,5
epcam_IntestGobl-19,6
tent5bb_IntestGobl-19,6
apoa1b_IntestGobl-19,6
sik2b_IntestGobl-19,2
b3gnt7_IntestGobl-19,1
si:dkey-1h24.2_IntestGobl-20,5
zgc:172053_IntestGobl-20,5
ttn.1_IntestGobl-20,3
ttn.2_IntestGobl-20,3
nr4a3_IntestGobl-20,1
myhz1.2_IntestTuft-69,3
myhz1.1_IntestTuft-69,3
CABZ01027646.1_IntestTuft-69,5
CR936442.1_IntestTuft-69,5
myhz1.2_IonoHATPas-256,3
myhz1.1_IonoHATPas-256,3
hs3st4_IonoHATPas-256,5
pvalb1_IonoHATPas-256,3
mylz3_IonoHATPas-256,3
irs2b_IonoHATPas-256,1
ttn.1_IonoHATPas-256,3
ttn.2_IonoHATPas-256,3
cd109_IonoHATPas-256,4
hsp90aa1.2_IonoHATPas-256,1
ctrb1_IonoHATPas-257,4
mical2a_IonoHATPas-257,6
sat1a.2_IonoHATPas-257,6
zdhhc8b_IonoHATPas-257,1
ela3l_IonoHATPas-257,4
myhz2_IonoHATPas-257,3
myhz1.3_IonoHATPas-257,3
myhz1.2_IonoHATPas-257,3
myhz1.1_IonoHATPas-257,3
ckma_IonoHATPas-257,4
atp2a1_IonoHATPas-257,3
rpl23_IonoHATPas-257,4
pvalb1_IonoHATPas-257,3
tmem198b_IonoHATPas-257,5
pfkfb4b_IonoHATPas-257,6
prelid3b_IonoHATPas-257,6
per2_IonoHATPas-257,4
rorcb_IonoHATPas-257,3
ralbp1_IonoHATPas-257,2
atp1a1a.5_IonoHATPas-257,2
mylz3_IonoHATPas-257,3
sh3gl2a_IonoHATPas-257,2
dnajb1b_IonoHATPas-257,6
neb_IonoHATPas-257,3
ttn.1_IonoHATPas-257,3
ttn.2_IonoHATPas-257,3
tuft1a_IonoHATPas-257,6
prss59.2_IonoHATPas-257,4
galnt1_IonoHATPas-257,5
stt3b_IonoHATPas-257,5
ptk2bb_IonoHATPas-257,1
rock2b.1_IonoHATPas-257,6
coq8aa_IonoHATPas-257,3
hsp90ab1_IonoHATPas-257,1
ela2l_IonoHATPas-257,4
dusp2_IonoHATPas-257,6
actc1b_IonoHATPas-257,3
acsl1b_IonoHATPas-257,5
TSC22D3_IonoHATPas-257,1
atp11c_IonoHATPas-257,1
arg2_IonoHATPas-257,6
tp53i11b_IonoHATPas-257,6
RASA2_IonoHATPas-257,1
kcnj1a.1_IonoHATPas-257,4
atp2a1l_IonoHATPas-257,3
tent5bb_IonoHATPas-257,6
eef1a1l1_IonoHATPas-257,3
arhgap32a_IonoHATPas-257,1
ckmb_IonoHATPas-257,3
actn4_IonoHATPas-257,1
b4galt5_IonoHATPas-257,1
slc25a33_IonoHATPas-257,4
tshz2_IonoHATPas-257,1
rpl29_IonoHATPas-257,3
slc20a1b_IonoHATPas-257,4
ucp2_IonoHATPas-257,6
rreb1a_IonoHATPas-257,5
vav3a_IonoHATPas-257,6
cela1.6_IonoHATPas-257,4
pkp3a_IonoHATPas-257,6
tnni2a.4_IonoHATPas-257,3
si:cabz01007794.1_IonoKplusS-118,1
slc9a5_IonoKplusS-118,5
hk2_IonoKplusS-118,2
myhz2_IonoKplusS-118,4
myhz1.3_IonoKplusS-118,4
DAB2_IonoKplusS-118,1
mcama_IonoKplusS-118,5
atp2a1_IonoKplusS-118,3
zgc:100868_IonoKplusS-118,2
pvalb1_IonoKplusS-118,3
vdrb_IonoKplusS-118,1
krt4_IonoKplusS-118,1
eya2_IonoKplusS-118,4
rgs5b_IonoKplusS-118,1
gpc1b_IonoKplusS-118,5
appa_IonoKplusS-118,1
atp1a1a.4_IonoKplusS-118,5
ugt8_IonoKplusS-118,1
st6gal2a_IonoKplusS-118,5
myo1b_IonoKplusS-118,5
etv5a_IonoKplusS-118,6
ttn.1_IonoKplusS-118,3
ttn.2_IonoKplusS-118,3
erfl3_IonoKplusS-118,1
prss1_IonoKplusS-118,4
satb1b_IonoKplusS-118,5
nr1d2a_IonoKplusS-118,4
IGLON5_IonoKplusS-118,5
chac1_IonoKplusS-118,6
si:dkey-7c18.24_IonoKplusS-118,1
hsp90aa1.2_IonoKplusS-118,1
dusp2_IonoKplusS-118,6
tcf7l1b_IonoKplusS-118,1
actc1b_IonoKplusS-118,3
ctsl.1_IonoKplusS-118,6
lpin1_IonoKplusS-118,6
zgc:92242_IonoKplusS-118,4
smap1_IonoKplusS-118,1
lgmn_IonoKplusS-118,4
pacs2_IonoKplusS-118,4
RASA2_IonoKplusS-118,1
nrxn1a_IonoKplusS-118,5
nme2b.2_IonoKplusS-118,3
foxo1a_IonoKplusS-118,6
ulk2_IonoKplusS-118,6
ctrl_IonoKplusS-118,4
GGT7_IonoKplusS-118,1
agrn_IonoKplusS-118,3
cldnb_IonoKplusS-118,6
esrra_IonoKplusS-118,2
ugcg_IonoKplusS-118,4
slc20a1b_IonoKplusS-118,6
cela1.6_IonoKplusS-118,3
midn_IonoKplusS-118,6
ccnd2a_IonoKplusS-118,4
tnni2a.4_IonoKplusS-118,3
plekha5_IonoKplusS-119,5
efnb3b_IonoKplusS-119,5
tpma_IonoKplusS-119,3
zgc:136461_IonoKplusS-119,4
tnnt3b_IonoKplusS-119,3
myhz1.2_IonoKplusS-119,3
ckma_IonoKplusS-119,4
DAB2_IonoKplusS-119,6
tmem161b_IonoKplusS-119,5
atp2a1_IonoKplusS-119,3
si:ch73-367p23.2_IonoKplusS-119,3
trim35-12_IonoKplusS-119,6
pvalb1_IonoKplusS-119,3
vdrb_IonoKplusS-119,1
frmd4ba_IonoKplusS-119,4
slc25a55a_IonoKplusS-119,4
prelid3b_IonoKplusS-119,6
mylz3_IonoKplusS-119,4
ugt8_IonoKplusS-119,1
st6gal2a_IonoKplusS-119,5
mgat4a_IonoKplusS-119,5
myo1b_IonoKplusS-119,5
etv5a_IonoKplusS-119,6
neb_IonoKplusS-119,3
ankrd44_IonoKplusS-119,3
ttn.1_IonoKplusS-119,3
ttn.2_IonoKplusS-119,3
erfl3_IonoKplusS-119,1
apoa4b.2.1_IonoKplusS-119,5
prss1_IonoKplusS-119,4
satb1b_IonoKplusS-119,5
sptlc2b_IonoKplusS-119,2
coq8aa_IonoKplusS-119,5
hsp90aa1.2_IonoKplusS-119,1
calr_IonoKplusS-119,5
ela2l_IonoKplusS-119,3
slc38a5a_IonoKplusS-119,4
pbx3b_IonoKplusS-119,6
dusp2_IonoKplusS-119,6
ank3a_IonoKplusS-119,1
ctsl.1_IonoKplusS-119,5
fosl2_IonoKplusS-119,6
canx_IonoKplusS-119,2
sqstm1_IonoKplusS-119,2
egr1_IonoKplusS-119,6
ssrp1a_IonoKplusS-119,4
inppl1b_IonoKplusS-119,4
CR383676.3_IonoKplusS-119,5
gclc_IonoKplusS-119,2
fgfr3_IonoKplusS-119,5
anxa11a_IonoKplusS-119,2
srsf5a_IonoKplusS-119,4
RASA2_IonoKplusS-119,1
kcnj1a.1_IonoKplusS-119,4
mcl1a_IonoKplusS-119,6
apoea_IonoKplusS-119,4
usp2a_IonoKplusS-119,6
ckmb_IonoKplusS-119,4
GGT7_IonoKplusS-119,1
sdcbp2_IonoKplusS-119,4
cldnb_IonoKplusS-119,6
esrra_IonoKplusS-119,2
hspa4a_IonoKplusS-119,2
ier2b_IonoKplusS-119,6
ugcg_IonoKplusS-119,2
slc12a2_IonoKplusS-119,5
slc20a1b_IonoKplusS-119,6
smyhc1_IonoKplusS-119,2
ippk_IonoKplusS-119,2
ccnd2a_IonoKplusS-119,6
tnni2a.4_IonoKplusS-119,3
si:cabz01007794.1_IonoNaClCT-187,6
ppargc1a_IonoNaClCT-187,1
hk2_IonoNaClCT-187,1
myhz1.3_IonoNaClCT-187,4
myhz1.2_IonoNaClCT-187,3
myhz1.1_IonoNaClCT-187,3
scarb2a_IonoNaClCT-187,1
grb2b_IonoNaClCT-187,1
sec23b_IonoNaClCT-187,6
pde4ca_IonoNaClCT-187,1
CABZ01072532.1_IonoNaClCT-187,6
ttn.1_IonoNaClCT-187,3
ttn.2_IonoNaClCT-187,3
znrf2b_IonoNaClCT-187,1
dsc2l_IonoNaClCT-187,6
hsp90aa1.2_IonoNaClCT-187,1
ahcyl1_IonoNaClCT-187,1
fosl2_IonoNaClCT-187,1
nocta_IonoNaClCT-187,6
usp54a_IonoNaClCT-187,1
RASA2_IonoNaClCT-187,1
atp2a1l_IonoNaClCT-187,3
bcr_IonoNaClCT-187,1
ptbp3_IonoNaClCT-187,3
myhz1.1.1_IonoNaClCT-187,3
tp53bp2b_IonoNaClCT-187,6
ccnd2a_IonoNaClCT-187,4
si:dkey-217l24.1_IonoNaClCT-187,1
myhz1.2_IonoNaClEp-186,5
pvalb1_IonoNaClEp-186,3
myhb_IonoNaClEp-186,5
mylz3_IonoNaClEp-186,3
neb_IonoNaClEp-186,3
ttn.1_IonoNaClEp-186,3
ttn.2_IonoNaClEp-186,3
ahcyl1_IonoNaClEp-186,1
lzts2a_IonoNaClEp-186,3
si:ch211-250g4.3_IonoNaClEp-186,3
rap1gap2a_IonoNaClEp-186,3
tnni2a.4_IonoNaClEp-186,3
gramd4a_Iridophore-142,1
zgc:112160_Iridophore-142,4
ctrb1_Iridophore-142,3
ela3l_Iridophore-142,3
myhz1.3_Iridophore-142,3
myhz1.2_Iridophore-142,3
myhz1.1_Iridophore-142,3
mylpfa_Iridophore-142,3
scinla_Iridophore-142,3
myhb_Iridophore-142,2
ttn.1_Iridophore-142,3
prss1_Iridophore-142,4
ela2l_Iridophore-142,3
actc1b_Iridophore-142,3
TENM2_Iridophore-142,5
tspan9a_Iridophore-142,6
fam214a_Iridophore-142,6
itpr1b_Iridophore-142,1
opcml_Iridophore-142,5
myhz1.1.1_Iridophore-142,3
cela1.6_Iridophore-142,3
tfec_Iridophore-143,1
tpma_Iridophore-143,3
tnnt3b_Iridophore-143,4
lrfn4b_Iridophore-143,6
ela3l_Iridophore-143,4
myhz2_Iridophore-143,3
myhz1.3_Iridophore-143,3
myhz1.2_Iridophore-143,3
myhz1.1_Iridophore-143,3
ckma_Iridophore-143,4
fhl2b_Iridophore-143,2
spsb4a_Iridophore-143,5
slc25a36a_Iridophore-143,5
mylz3_Iridophore-143,3
crygm2d17.1_Iridophore-143,4
neb_Iridophore-143,3
ttn.1_Iridophore-143,3
ttn.2_Iridophore-143,3
sh3bp5b_Iridophore-143,4
si:dkey-7c18.24_Iridophore-143,1
lpin1_Iridophore-143,6
mylipa_Iridophore-143,4
nme2b.2_Iridophore-143,3
foxo1a_Iridophore-143,6
ulk2_Iridophore-143,1
ckmb_Iridophore-143,3
ctrl_Iridophore-143,4
hspa4a_Iridophore-143,2
nuf2_Iridophore-143,6
prickle2b_Iridophore-143,3
ucp2_Iridophore-143,4
mt-co1_Iridophore-143,4
myhz2_IridoPreNC-18,3
ttn.1_IridoPreNC-18,3
ttn.2_IridoPreNC-18,3
atf3_IridoPreNC-18,2
atp2a1l_IridoPreNC-18,4
ctrb1_LatLinCSup-124,4
unm-hu7910_LatLinCSup-124,3
myhz1.2_LatLinCSup-124,3
myhz1.1_LatLinCSup-124,3
pvalb1_LatLinCSup-124,3
mylz3_LatLinCSup-124,3
creb5b_LatLinCSup-124,5
gmds_LatLinCSup-124,5
hsp90aa1.2_LatLinCSup-124,5
actc1b_LatLinCSup-124,3
ctsl.1_LatLinCSup-124,6
lpin1_LatLinCSup-124,4
