 ,Area,Mean,Min,Max,IntDen,RawIntDen
1,999564.069,181.587,65,745,181507415.219,17731929.000
2,999564.069,130.602,50,497,130545278.382,12753306.000
3,999564.069,70.253,34,214,70222195.893,6860188.000
4,999564.069,41.041,28,79,41023122.760,4007655.000
5,999564.069,159.673,64,1638,159603225.147,15592052.000
6,999564.069,116.254,47,1108,116203412.338,11352212.000
7,999564.069,64.901,35,451,64873089.941,6337620.000
8,999564.069,39.958,27,136,39940154.206,3901857.000
9,999564.069,152.910,64,648,152843490.161,14931676.000
10,999564.069,111.746,50,446,111697369.328,10912005.000
11,999564.069,63.388,34,203,63360262.774,6189828.000
12,999564.069,39.322,26,78,39305193.031,3839826.000
13,999564.069,168.153,59,701,168079487.504,16420120.000
14,999564.069,122.043,48,482,121989767.433,11917496.000
15,999564.069,67.347,34,212,67318004.204,6576470.000
16,999564.069,40.467,27,85,40448954.324,3951563.000
17,999564.069,161.526,63,2896,161455156.855,15772972.000
18,999564.069,117.288,50,1918,117236878.672,11453174.000
19,999564.069,65.498,35,833,65469532.328,6395888.000
20,999564.069,39.682,26,216,39664554.994,3874933.000
21,999564.069,133.305,60,1521,133246967.501,13017241.000
22,999564.069,98.905,50,1055,98861687.162,9658054.000
23,999564.069,58.053,34,440,58027985.120,5668904.000
24,999564.069,38.017,27,125,38000529.048,3712370.000
25,999564.069,149.442,62,3713,149376932.365,14593019.000
26,999564.069,109.514,48,2232,109465828.470,10694000.000
27,999564.069,62.454,34,931,62426486.706,6098605.000
28,999564.069,39.167,27,240,39150339.930,3824698.000
29,999564.069,173.458,62,697,173382786.501,16938213.000
30,999564.069,125.633,51,480,125578463.462,12268085.000
31,999564.069,68.938,32,206,68907551.624,6731757.000
32,999564.069,40.670,27,76,40652572.639,3971455.000
